Сбербанк;SBER +
МТС;MTSS
Мечел;MTLR
Яндекс;YNDX +
Газпром;GAZP +
Лукойл;LKOH +
Магнит;MGNT + 
НОВАТЭК;NVTK
М.видео;MVID
Сургутнефтегаз;SNGS
Татнефть;TATN
НЛМК;NLMK
ЭН+ ГРУП;ENPG
ММК;MAGN
Северсталь;CHMF +
АФК Система;AFKS
ТМК;TRMK
Мосэнерго;MSNG
ФосАгро;PHOR
РусГидро;HYDR
Полюс;PLZL
АЛРОСА;ALRS
РуссНефть;RNFT
КАМАЗ;KMAZ
Россети Московский регион;MSRS
Детский мир;DSKY
Группа Черкизово;GCHE
Совкомфлот;FLOT
СОЛЛЕРС;SVAV
Юнипро;UPRO
Роснефть;ROSN +
Газпром нефть;SIBN +
ВК;VKCO +
Банк ВТБ;VTBR +
