Date;Open;High;Low;Close;Volume
2007-08-21;69.95;70.0;69.15;69.3;121894.0
2007-08-22;69.05;71.17;69.05;71.0;143810.0
2007-08-23;71.58;71.83;70.0;70.02;109851.0
2007-08-24;69.95;70.68;69.56;70.0;174997.0
2007-08-27;70.04;70.3;70.0;70.15;93309.0
2007-08-28;70.16;70.2;69.0;69.46;116157.0
2007-08-29;67.34;69.32;67.34;69.07;76351.0
2007-08-30;69.89;69.89;69.0;69.53;94771.0
2007-08-31;69.59;70.0;69.1;69.81;147573.0
2007-09-03;66.09;70.71;66.09;70.4;41889.0
2007-09-04;70.7;71.0;69.6;70.0;97406.0
2007-09-05;70.38;70.67;69.7;70.0;100281.0
2007-09-06;70.2;70.23;69.78;70.0;45812.0
2007-09-07;70.19;70.48;70.0;70.05;111040.0
2007-09-10;69.5;70.84;69.5;70.7;113224.0
2007-09-11;70.5;71.59;70.5;70.97;113676.0
2007-09-12;71.19;71.8;70.11;70.7;93224.0
2007-09-13;70.33;71.3;70.32;71.21;49909.0
2007-09-14;71.09;71.7;70.82;71.16;14289.0
2007-09-17;71.16;72.0;71.0;72.0;330975.0
2007-09-18;71.7;72.95;71.7;72.7;192316.0
2007-09-19;73.25;76.8;73.25;76.49;562050.0
2007-09-20;76.49;76.8;74.49;74.83;214906.0
2007-09-21;74.83;75.0;71.84;74.8;42008.0
2007-09-24;74.8;75.6;73.85;75.5;160383.0
2007-09-25;74.92;75.4;74.0;75.09;168461.0
2007-09-26;74.72;79.12;74.71;77.97;571615.0
2007-09-27;77.8;78.5;76.8;77.81;411299.0
2007-09-28;77.81;78.22;77.0;77.3;249525.0
2007-10-01;77.3;78.33;76.52;78.24;385306.0
2007-10-02;78.51;79.74;78.0;78.42;237977.0
2007-10-03;78.46;78.6;77.12;77.48;409252.0
2007-10-04;77.48;77.98;76.6;77.26;66253.0
2007-10-05;77.76;78.18;77.2;77.7;106946.0
2007-10-08;77.57;77.57;76.51;77.25;59885.0
2007-10-09;77.5;77.5;76.07;76.5;165392.0
2007-10-10;76.7;76.74;75.8;76.2;62087.0
2007-10-11;76.2;81.1;75.75;80.1;1106207.0
2007-10-12;80.0;83.5;78.5;81.15;851017.0
2007-10-15;81.5;82.49;81.1;82.1;259388.0
2007-10-16;81.33;85.76;81.33;83.2;494414.0
2007-10-17;84.5;84.5;82.13;84.19;1807340.0
2007-10-18;84.25;85.2;81.17;83.5;349091.0
2007-10-19;83.5;83.5;82.0;82.01;104896.0
2007-10-22;82.0;82.0;78.11;80.1;181075.0
2007-10-23;80.26;81.9;80.19;80.59;92364.0
2007-10-24;81.19;82.98;80.5;82.24;201285.0
2007-10-25;82.26;84.75;82.0;83.83;422908.0
2007-10-26;84.95;84.95;83.56;84.71;134392.0
2007-10-29;84.99;86.3;84.0;85.4;706478.0
2007-10-30;85.0;85.79;84.5;84.7;469590.0
2007-10-31;84.83;85.75;84.5;85.17;353115.0
2007-11-01;85.53;86.78;83.0;83.49;191473.0
2007-11-02;83.18;86.15;83.18;85.95;560981.0
2007-11-06;85.78;86.29;85.1;86.01;297172.0
2007-11-07;88.12;88.12;85.38;85.75;93929.0
2007-11-08;85.75;85.82;85.05;85.52;89680.0
2007-11-09;85.52;87.06;85.0;87.0;731147.0
2007-11-12;86.5;87.87;86.5;87.0;101485.0
2007-11-13;87.45;87.5;86.0;86.6;88149.0
2007-11-14;87.0;87.57;86.11;86.77;79808.0
2007-11-15;87.14;87.7;86.7;87.0;239633.0
2007-11-16;87.0;87.75;86.06;86.85;502396.0
2007-11-19;89.02;89.02;85.99;87.25;168002.0
2007-11-20;86.81;87.5;86.8;87.5;97321.0
2007-11-21;87.48;87.5;83.5;87.0;167957.0
2007-11-22;86.98;87.44;86.01;87.38;136638.0
2007-11-23;87.5;88.0;86.67;87.3;168886.0
2007-11-26;88.48;88.48;87.0;87.77;40425.0
2007-11-27;87.3;87.84;87.07;87.25;81763.0
2007-11-28;87.25;87.64;85.0;87.02;119759.0
2007-11-29;89.57;89.57;86.3;86.8;210248.0
2007-11-30;86.15;87.06;86.15;87.05;74466.0
2007-12-03;82.45;89.01;82.45;87.68;529273.0
2007-12-04;87.64;87.64;86.51;86.75;86731.0
2007-12-05;86.75;87.3;85.91;86.91;336593.0
2007-12-06;87.2;87.49;86.05;86.9;107404.0
2007-12-07;87.33;87.33;86.55;86.69;92122.0
2007-12-10;86.65;87.77;86.65;87.41;110584.0
2007-12-11;87.56;87.69;86.51;86.67;103502.0
