begin;open;close;high;low;value;quantity;end
2019-01-03;940.0;934.2;942.6;926.3;560946266.0;601710;2019-01-03 23:59:59
2019-01-04;934.0;949.7;949.7;931.1;316256477.0;335530;2019-01-04 23:59:59
2019-01-08;952.0;952.7;960.0;941.3;536629110.0;565630;2019-01-08 23:59:59
2019-01-09;953.1;972.6;973.5;950.0;993277851.0;1027070;2019-01-09 23:59:59
2019-01-10;972.5;970.0;973.4;958.6;702735122.0;725450;2019-01-10 23:59:59
2019-01-11;970.2;972.5;972.5;961.5;687775314.0;709800;2019-01-11 23:59:59
2019-01-14;969.8;960.5;969.8;956.2;536413128.0;557870;2019-01-14 23:59:59
2019-01-15;959.9;954.8;964.0;951.8;526962297.0;550380;2019-01-15 23:59:59
2019-01-16;954.9;953.1;959.2;947.1;486480758.0;510330;2019-01-16 23:59:59
2019-01-17;952.1;953.2;954.8;945.2;623370141.0;656130;2019-01-17 23:59:59
2019-01-18;953.7;954.8;961.8;950.3;405937080.0;425580;2019-01-18 23:59:59
2019-01-21;956.0;950.0;956.9;948.2;260011142.0;273220;2019-01-21 23:59:59
2019-01-22;951.6;952.3;952.3;946.0;395244735.0;416310;2019-01-22 23:59:59
2019-01-23;946.0;945.8;952.2;943.3;392079968.0;414110;2019-01-23 23:59:59
2019-01-24;944.0;926.0;944.7;923.7;888189753.0;953220;2019-01-24 23:59:59
2019-01-25;927.9;951.0;951.0;922.3;634932612.0;675030;2019-01-25 23:59:59
2019-01-28;951.0;952.5;953.0;942.2;416558361.0;438970;2019-01-28 23:59:59
2019-01-29;953.1;956.9;959.3;947.0;468895906.0;491120;2019-01-29 23:59:59
2019-01-30;955.2;976.2;976.6;953.3;922480330.0;952440;2019-01-30 23:59:59
2019-01-31;979.3;998.5;1006.0;976.7;1955547558.0;1963760;2019-01-31 23:59:59
2019-02-01;1000.2;1014.8;1014.8;988.6;1148623354.0;1141000;2019-02-01 23:59:59
2019-02-04;1015.2;1029.0;1030.0;1014.8;1130393102.0;1102560;2019-02-04 23:59:59
2019-02-05;1030.0;1028.8;1039.8;1022.0;1169592538.0;1134050;2019-02-05 23:59:59
2019-02-06;1024.0;1019.0;1028.8;1012.4;954130566.0;935560;2019-02-06 23:59:59
2019-02-07;1016.0;1026.0;1030.0;1010.2;772919620.0;755920;2019-02-07 23:59:59
2019-02-08;1020.0;1022.2;1030.0;1020.0;472390654.0;460570;2019-02-08 23:59:59
2019-02-11;1021.0;1031.4;1035.0;1021.0;754327296.0;731290;2019-02-11 23:59:59
2019-02-12;1033.6;1035.0;1039.2;1023.0;514682486.0;499620;2019-02-12 23:59:59
2019-02-13;1034.8;1011.8;1037.4;1010.8;848038356.0;830640;2019-02-13 23:59:59
