Date;Open;High;Low;Close;Volume
2017-02-10;90.0;96.0;83.0;85.0;35138800.0
2017-02-13;85.6;85.9;84.4;85.2;2282830.0
2017-02-14;85.5;85.5;84.64;85.0;2561550.0
2017-02-15;85.2;85.2;84.7;85.0;379180.0
2017-02-16;85.09;85.09;83.7;84.99;2647260.0
2017-02-17;84.0;84.9;84.0;84.9;630210.0
2017-02-20;84.9;84.9;84.0;84.85;117420.0
2017-02-21;84.0;84.9;84.0;84.8;216860.0
2017-02-22;84.79;84.8;84.15;84.75;626430.0
2017-02-24;84.01;84.7;83.75;84.7;109270.0
2017-02-27;84.9;85.0;83.8;84.48;814270.0
2017-02-28;84.0;84.99;83.8;84.93;6744560.0
2017-03-01;84.9;84.9;84.03;84.42;44400.0
2017-03-02;86.0;88.0;83.85;83.85;376710.0
2017-03-03;83.51;84.26;82.82;82.82;260170.0
2017-03-06;83.95;83.96;80.5;82.98;805580.0
2017-03-07;83.47;84.75;80.56;84.75;2274440.0
2017-03-09;84.7;84.7;82.28;84.6;1546990.0
2017-03-10;83.11;84.38;82.06;82.07;92400.0
2017-03-13;81.25;82.46;81.14;81.5;320800.0
2017-03-14;82.16;82.17;81.11;81.14;17350.0
2017-03-15;81.99;81.99;80.01;80.01;51190.0
2017-03-16;81.9;82.1;77.69;77.69;570540.0
2017-03-17;78.48;79.88;76.2;76.2;1295970.0
2017-03-20;77.69;78.91;75.01;75.01;1025970.0
2017-03-21;75.38;79.95;75.38;79.0;383940.0
2017-03-22;79.4;80.95;78.0;80.41;175580.0
2017-03-23;80.4;81.87;80.12;81.3;488860.0
2017-03-24;81.49;84.4;81.36;82.41;320450.0
2017-03-27;81.92;85.53;80.63;85.53;646820.0
2017-03-28;85.5;86.0;84.67;85.1;201150.0
2017-03-29;85.27;86.0;84.74;85.2;91060.0
2017-03-30;86.0;87.5;85.15;87.5;251800.0
2017-03-31;88.99;90.0;86.5;88.0;170570.0
2017-04-03;87.0;89.99;87.0;88.24;147070.0
2017-04-04;89.0;89.77;88.37;89.0;27460.0
2017-04-05;89.01;89.99;89.01;89.99;21940.0
2017-04-06;89.98;100.0;89.98;92.0;531630.0
2017-04-07;92.78;93.0;88.64;89.61;441400.0
2017-04-10;89.53;90.87;84.57;84.57;301240.0
2017-04-11;84.25;88.9;83.91;87.56;59650.0
2017-04-12;88.3;90.0;87.0;87.03;90920.0
2017-04-13;86.14;90.0;85.0;88.9;185550.0
2017-04-14;88.9;91.8;88.8;89.68;92410.0
2017-04-17;89.99;92.0;89.01;89.9;57560.0
2017-04-18;89.9;92.0;89.01;90.01;71190.0
2017-04-19;88.1;90.26;88.1;90.0;454630.0
2017-04-20;90.9;91.5;88.0;89.0;26440.0
2017-04-21;90.16;90.98;88.71;90.48;207880.0
2017-04-24;90.88;91.41;89.0;90.0;43210.0
2017-04-25;89.0;91.0;89.0;90.5;232210.0
2017-04-26;91.07;91.07;88.0;89.9;183090.0
2017-04-27;89.86;91.0;89.5;90.0;139900.0
2017-04-28;89.87;92.0;89.46;90.47;209060.0
2017-05-02;90.9;95.0;90.04;92.0;138390.0
2017-05-03;82.8;92.64;82.74;85.53;642290.0
2017-05-04;83.3;91.0;83.3;87.6;290120.0
2017-05-05;87.5;92.41;87.5;88.65;571490.0
2017-05-10;87.03;89.99;87.0;88.55;129960.0
2017-05-11;88.54;91.99;87.98;89.0;229530.0
2017-05-12;89.87;90.04;89.08;89.19;38380.0
2017-05-15;90.01;90.35;88.78;89.01;7630.0
2017-05-16;91.41;91.6;89.04;91.41;383850.0
2017-05-17;91.41;91.98;90.34;91.6;121770.0
2017-05-18;91.14;91.41;90.36;91.41;170030.0
2017-05-19;91.67;93.5;89.84;91.55;169070.0
2017-05-22;93.95;93.95;89.5;92.0;42720.0
2017-05-23;92.48;93.0;90.99;92.0;76190.0
2017-05-24;90.94;92.0;90.94;91.41;10130.0
2017-05-25;92.0;92.0;90.32;91.99;50370.0
2017-05-26;92.0;92.0;90.1;91.08;96380.0
2017-05-29;92.0;92.07;90.6;91.04;99750.0
2017-05-30;91.98;93.99;91.93;93.49;247500.0
2017-05-31;94.0;98.99;92.39;92.39;1316730.0
2017-06-01;92.54;96.89;92.0;95.39;399140.0
2017-06-02;96.79;99.0;96.0;97.3;218620.0
2017-06-05;102.0;102.0;96.14;96.5;160450.0
2017-06-06;96.01;96.51;95.06;95.6;87730.0
2017-06-07;96.3;96.49;94.89;95.8;429930.0
2017-06-08;95.96;97.37;94.45;96.2;618110.0
2017-06-09;96.74;101.8;95.89;100.45;267690.0
2017-06-13;101.95;101.95;99.11;101.0;287200.0
2017-06-14;101.0;103.0;100.01;103.0;553940.0
2017-06-15;100.0;102.0;96.73;101.0;654440.0
2017-06-16;101.0;104.19;99.1;99.99;5114950.0
2017-06-19;100.5;100.98;97.32;100.98;128350.0
2017-06-20;101.6;101.6;97.21;98.48;73230.0
