begin;open;close;high;low;value;quantity;end
2019-01-03;154.13;156.28;157.3;154.11;2210472430.1;14178500;2019-01-03 23:59:59
2019-01-04;156.71;159.15;159.15;156.71;2297413672.7;14563370;2019-01-04 23:59:59
2019-01-08;158.75;158.26;158.94;156.55;2686999296.3;17041340;2019-01-08 23:59:59
2019-01-09;158.88;160.24;160.4;158.4;3059300418.1;19149630;2019-01-09 23:59:59
2019-01-10;159.75;160.2;160.2;157.56;3175534988.4;19950220;2019-01-10 23:59:59
2019-01-11;160.2;161.0;161.13;159.8;2826231240.6;17607210;2019-01-11 23:59:59
2019-01-14;159.7;160.48;160.75;159.2;2014123125.0;12593250;2019-01-14 23:59:59
2019-01-15;160.97;158.15;161.5;157.35;3321625635.6;20870220;2019-01-15 23:59:59
2019-01-16;158.5;156.9;158.75;155.8;3272113248.5;20866610;2019-01-16 23:59:59
2019-01-17;157.4;157.1;157.4;155.6;2539975044.1;16244460;2019-01-17 23:59:59
2019-01-18;158.16;159.2;159.2;157.43;2893233884.1;18270390;2019-01-18 23:59:59
2019-01-21;159.02;158.3;160.07;158.01;1896518870.0;11919340;2019-01-21 23:59:59
2019-01-22;157.86;158.5;158.5;156.57;2974542703.3;18842130;2019-01-22 23:59:59
2019-01-23;158.24;159.9;159.9;158.02;2319156029.1;14567930;2019-01-23 23:59:59
2019-01-24;159.78;160.9;162.78;158.86;5739386068.0;35655300;2019-01-24 23:59:59
2019-01-25;161.61;162.82;162.82;160.18;3195777916.0;19765260;2019-01-25 23:59:59
2019-01-28;162.4;160.56;163.58;159.82;3858065769.1;23896920;2019-01-28 23:59:59
2019-01-29;160.1;162.95;162.98;159.0;3684877592.8;22819740;2019-01-29 23:59:59
2019-01-30;162.51;165.4;165.84;162.26;4130105316.7;25112890;2019-01-30 23:59:59
2019-01-31;166.0;162.82;166.49;162.55;5044344826.4;30703160;2019-01-31 23:59:59
2019-02-01;162.49;163.33;164.37;161.75;3771220988.4;23094500;2019-02-01 23:59:59
2019-02-04;163.49;163.2;165.0;162.81;1877616878.5;11463210;2019-02-04 23:59:59
2019-02-05;163.45;164.25;165.43;162.54;2252485272.5;13709520;2019-02-05 23:59:59
2019-02-06;164.41;163.21;164.67;163.07;1564647550.8;9553310;2019-02-06 23:59:59
2019-02-07;162.89;160.39;163.44;159.1;3785574726.1;23537340;2019-02-07 23:59:59
2019-02-08;159.16;159.8;161.36;158.11;3103277835.5;19420820;2019-02-08 23:59:59
2019-02-11;160.4;161.29;162.3;160.18;3083875391.0;19127420;2019-02-11 23:59:59
2019-02-12;161.5;163.68;163.68;160.75;2433747110.1;14992630;2019-02-12 23:59:59
2019-02-13;164.0;159.27;164.28;159.27;3540683453.4;22006440;2019-02-13 23:59:59
2019-02-14;157.35;155.15;158.74;155.15;6015747198.2;38381690;2019-02-14 23:59:59
2019-02-15;155.99;159.04;159.04;155.89;3863237908.1;24570310;2019-02-15 23:59:59
2019-02-18;159.25;156.43;159.9;156.14;2802173012.6;17780780;2019-02-18 23:59:59
2019-02-19;156.41;154.03;157.14;153.36;3103932587.1;20054660;2019-02-19 23:59:59
2019-02-20;154.65;154.43;155.66;153.67;3269030372.6;21149620;2019-02-20 23:59:59
2019-02-21;154.84;153.5;155.41;153.01;2344274222.3;15215880;2019-02-21 23:59:59
2019-02-22;153.51;154.64;155.65;153.49;2041203560.1;13198300;2019-02-22 23:59:59
2019-02-25;155.01;154.6;155.37;153.56;2289762616.5;14809350;2019-02-25 23:59:59
2019-02-26;153.95;155.36;155.36;152.82;2822990429.6;18295430;2019-02-26 23:59:59
2019-02-27;155.7;156.4;157.15;154.82;3076346104.2;19720690;2019-02-27 23:59:59
2019-02-28;156.22;158.99;159.25;156.02;5473136057.7;34679960;2019-02-28 23:59:59
2019-03-01;158.92;156.71;159.55;156.31;3448994839.9;21894710;2019-03-01 23:59:59
2019-03-04;156.75;154.4;156.76;154.4;2671510538.2;17198890;2019-03-04 23:59:59
2019-03-05;154.05;153.2;154.65;153.11;3094689035.1;20125620;2019-03-05 23:59:59
2019-03-06;153.31;154.2;154.45;153.07;2640014883.6;17139850;2019-03-06 23:59:59
2019-03-07;154.01;151.9;154.19;151.58;3002874043.8;19671250;2019-03-07 23:59:59
2019-03-11;151.9;151.6;152.47;150.51;2952613702.1;19515830;2019-03-11 23:59:59
2019-03-12;152.24;151.64;152.95;150.84;2354542512.0;15491920;2019-03-12 23:59:59
2019-03-13;151.1;153.3;153.3;150.66;2823152238.7;18551950;2019-03-13 23:59:59
2019-03-14;153.39;152.68;154.4;152.53;3063730752.9;19960690;2019-03-14 23:59:59
