begin;open;close;high;low;value;quantity;end
2019-01-03;4984.0;5007.0;5050.0;4886.5;3143864937.5;632153;2019-01-03 23:59:59
2019-01-04;5021.0;5074.5;5083.0;5021.0;1775079431.5;350743;2019-01-04 23:59:59
2019-01-08;5037.0;5039.0;5056.0;4964.5;4951378795.5;989453;2019-01-08 23:59:59
2019-01-09;5050.0;5060.0;5077.0;5025.0;4148359675.0;820940;2019-01-09 23:59:59
2019-01-10;5048.5;5152.0;5152.0;5004.0;4114282628.5;807655;2019-01-10 23:59:59
2019-01-11;5153.5;5200.0;5212.0;5135.5;3535339472.5;682434;2019-01-11 23:59:59
2019-01-14;5187.0;5200.0;5200.0;5134.5;2164434110.5;418371;2019-01-14 23:59:59
2019-01-15;5213.5;5195.0;5237.5;5125.0;3172283801.0;611109;2019-01-15 23:59:59
2019-01-16;5197.0;5129.0;5209.5;5114.0;2613201940.5;507299;2019-01-16 23:59:59
2019-01-17;5120.0;5184.5;5187.0;5060.0;3610831398.5;704441;2019-01-17 23:59:59
2019-01-18;5194.0;5193.5;5206.0;5143.0;3031326769.0;585467;2019-01-18 23:59:59
2019-01-21;5207.0;5200.0;5224.0;5180.5;1456446521.0;279987;2019-01-21 23:59:59
2019-01-22;5187.0;5186.0;5212.0;5158.5;3380712317.0;651497;2019-01-22 23:59:59
2019-01-23;5190.5;5205.5;5222.0;5176.5;3083455419.0;593066;2019-01-23 23:59:59
2019-01-24;5185.5;5196.5;5196.5;5143.5;3316688641.0;640887;2019-01-24 23:59:59
2019-01-25;5196.0;5215.0;5246.0;5183.5;3475357549.0;667326;2019-01-25 23:59:59
2019-01-28;5212.0;5165.0;5215.0;5143.0;3407178808.0;659844;2019-01-28 23:59:59
2019-01-29;5150.0;5196.5;5215.0;5136.0;2671619567.0;515004;2019-01-29 23:59:59
2019-01-30;5184.5;5227.0;5227.0;5184.0;2379397380.0;456853;2019-01-30 23:59:59
2019-01-31;5240.0;5272.5;5300.0;5228.0;4170476608.5;791137;2019-01-31 23:59:59
2019-02-01;5267.5;5319.5;5329.5;5241.0;2898746804.0;546468;2019-02-01 23:59:59
2019-02-04;5333.0;5350.0;5406.0;5314.5;2627890649.0;489423;2019-02-04 23:59:59
2019-02-05;5363.5;5435.0;5435.0;5363.0;2136334706.5;395021;2019-02-05 23:59:59
2019-02-06;5439.0;5461.0;5488.5;5402.5;3103196553.5;569203;2019-02-06 23:59:59
2019-02-07;5444.0;5385.0;5464.5;5385.0;3038843975.0;560613;2019-02-07 23:59:59
2019-02-08;5369.5;5386.0;5403.0;5334.5;2779676343.5;517950;2019-02-08 23:59:59
2019-02-11;5381.5;5419.5;5440.0;5380.0;2305211488.5;425813;2019-02-11 23:59:59
2019-02-12;5421.5;5439.0;5475.5;5391.5;2381619995.5;438101;2019-02-12 23:59:59
2019-02-13;5434.0;5351.0;5435.5;5313.0;4029948325.5;750434;2019-02-13 23:59:59
2019-02-14;5312.0;5360.5;5395.0;5291.0;4335754819.5;811821;2019-02-14 23:59:59
2019-02-15;5388.0;5426.0;5448.0;5361.5;2467596306.0;455541;2019-02-15 23:59:59
2019-02-18;5454.0;5483.5;5485.5;5404.0;2753505692.0;505508;2019-02-18 23:59:59
2019-02-19;5483.5;5443.5;5496.0;5428.5;2832267423.0;518735;2019-02-19 23:59:59
2019-02-20;5454.0;5445.0;5495.0;5438.5;3186804119.0;583804;2019-02-20 23:59:59
2019-02-21;5438.0;5447.5;5465.5;5416.0;2573562105.0;473013;2019-02-21 23:59:59
2019-02-22;5452.0;5527.0;5527.0;5445.5;3139593163.5;570935;2019-02-22 23:59:59
2019-02-25;5531.0;5533.0;5587.5;5496.5;3041400570.0;548742;2019-02-25 23:59:59
2019-02-26;5510.0;5551.0;5551.0;5455.5;3280402987.0;595094;2019-02-26 23:59:59
2019-02-27;5561.0;5580.0;5581.0;5526.5;2629127335.5;472896;2019-02-27 23:59:59
2019-02-28;5574.0;5501.0;5587.5;5501.0;4703567058.0;852105;2019-02-28 23:59:59
2019-03-01;5517.0;5500.5;5535.0;5488.0;2681941340.5;486945;2019-03-01 23:59:59
2019-03-04;5502.5;5546.5;5550.0;5467.0;2344367502.5;425266;2019-03-04 23:59:59
2019-03-05;5535.0;5622.5;5660.0;5530.0;3639745595.0;649004;2019-03-05 23:59:59
2019-03-06;5603.0;5713.0;5730.0;5603.0;4384867104.0;770123;2019-03-06 23:59:59
2019-03-07;5690.0;5677.0;5719.5;5642.5;3531650066.5;621335;2019-03-07 23:59:59
2019-03-11;5649.0;5561.0;5669.0;5561.0;3714686845.0;664261;2019-03-11 23:59:59
2019-03-12;5584.0;5576.0;5618.5;5571.0;3120755451.5;558181;2019-03-12 23:59:59
2019-03-13;5574.0;5609.0;5609.0;5542.5;2959005443.0;530205;2019-03-13 23:59:59
2019-03-14;5616.0;5608.0;5627.0;5580.0;2529306511.0;451468;2019-03-14 23:59:59
2019-03-15;5608.0;5662.5;5662.5;5575.5;5574979000.5;988959;2019-03-15 23:59:59
2019-03-18;5625.5;5610.0;5674.5;5600.0;2717396984.5;482950;2019-03-18 23:59:59
2019-03-19;5615.0;5682.5;5682.5;5595.0;3116303454.0;552152;2019-03-19 23:59:59
2019-03-20;5682.5;5770.0;5770.0;5664.0;3907750283.5;682158;2019-03-20 23:59:59
2019-03-21;5773.0;5759.0;5793.5;5730.0;6417173140.0;1114265;2019-03-21 23:59:59
2019-03-22;5759.0;5793.5;5799.0;5732.0;4049498373.5;700914;2019-03-22 23:59:59
2019-03-25;5760.0;5740.0;5775.0;5729.0;3962184570.5;688816;2019-03-25 23:59:59
2019-03-26;5749.0;5809.0;5819.5;5728.5;2818727456.5;486415;2019-03-26 23:59:59
2019-03-27;5805.0;5850.0;5859.5;5802.5;3166670383.0;542224;2019-03-27 23:59:59
2019-03-28;5840.0;5880.0;5890.0;5809.0;3790324154.0;646392;2019-03-28 23:59:59
2019-03-29;5881.5;5894.0;5895.0;5841.0;4160496975.5;708494;2019-03-29 23:59:59
2019-04-01;5893.0;5909.0;5942.5;5878.5;2576223637.0;435156;2019-04-01 23:59:59
2019-04-02;5919.0;5958.0;5958.0;5902.0;3431369870.0;579149;2019-04-02 23:59:59
2019-04-03;5961.0;5926.0;5996.0;5926.0;3550212349.0;596004;2019-04-03 23:59:59
2019-04-04;5929.0;5865.0;5942.5;5863.0;3676098257.0;623610;2019-04-04 23:59:59
2019-04-05;5865.0;5822.0;5905.0;5822.0;2775956545.5;473476;2019-04-05 23:59:59
2019-04-08;5851.5;5826.0;5866.5;5800.5;3615421460.0;619901;2019-04-08 23:59:59
2019-04-09;5851.0;5736.0;5851.0;5695.0;6136160541.5;1067819;2019-04-09 23:59:59
2019-04-10;5736.0;5692.0;5738.5;5685.5;4355453441.5;763177;2019-04-10 23:59:59
2019-04-11;5689.5;5630.0;5695.0;5627.5;4017742275.5;710264;2019-04-11 23:59:59
2019-04-12;5632.0;5600.0;5647.5;5573.5;3420333704.0;610130;2019-04-12 23:59:59
2019-04-15;5601.0;5590.0;5637.5;5586.0;2438226668.5;435112;2019-04-15 23:59:59
2019-04-16;5603.0;5609.5;5662.0;5563.0;4111929099.0;733561;2019-04-16 23:59:59
2019-04-17;5630.0;5584.0;5650.0;5548.0;3661778104.5;654558;2019-04-17 23:59:59
2019-04-18;5584.0;5610.0;5610.0;5570.0;2627878565.5;469684;2019-04-18 23:59:59
2019-04-19;5620.0;5602.0;5632.5;5600.0;469835639.5;83771;2019-04-19 23:59:59
2019-04-22;5625.0;5690.0;5696.5;5621.5;1568061865.5;276852;2019-04-22 23:59:59
2019-04-23;5700.0;5780.0;5833.5;5700.0;4710988511.5;814827;2019-04-23 23:59:59
2019-04-24;5778.0;5760.0;5800.0;5713.5;3663380175.5;637310;2019-04-24 23:59:59
2019-04-25;5768.0;5648.5;5787.0;5648.5;4642674716.5;813292;2019-04-25 23:59:59
2019-04-26;5648.0;5588.0;5648.0;5585.0;3762347412.5;671743;2019-04-26 23:59:59
