begin;open;close;high;low;value;quantity;end
2019-01-03;3511.5;3576.0;3596.5;3482.0;789639918.0;221569;2019-01-03 23:59:59
2019-01-04;3600.0;3600.0;3652.5;3580.0;937284010.5;259359;2019-01-04 23:59:59
2019-01-08;3600.0;3680.0;3688.0;3563.0;845062571.0;232888;2019-01-08 23:59:59
2019-01-09;3679.0;3698.5;3750.0;3661.0;938679697.5;252901;2019-01-09 23:59:59
2019-01-10;3703.0;3830.0;3838.5;3699.0;1602459070.5;423307;2019-01-10 23:59:59
2019-01-11;3830.5;3827.0;3897.0;3816.0;1431897370.5;370792;2019-01-11 23:59:59
2019-01-14;3820.0;3790.5;3820.0;3756.5;712331489.0;188247;2019-01-14 23:59:59
2019-01-15;3818.0;3920.0;3930.0;3806.0;1792673323.0;460014;2019-01-15 23:59:59
2019-01-16;3937.5;3970.0;3999.0;3930.5;1500946345.0;378181;2019-01-16 23:59:59
2019-01-17;4000.0;4155.0;4166.5;3992.5;3999748059.5;972965;2019-01-17 23:59:59
2019-01-18;4181.0;4152.0;4232.0;4110.0;2452683022.5;587675;2019-01-18 23:59:59
2019-01-21;4170.0;4140.0;4267.5;4112.0;2666368085.0;634655;2019-01-21 23:59:59
2019-01-22;4130.0;4200.0;4228.0;4112.5;1792086301.5;428487;2019-01-22 23:59:59
2019-01-23;4219.5;4300.0;4328.0;4191.5;2370608927.0;554217;2019-01-23 23:59:59
2019-01-24;4323.0;4256.0;4425.0;4240.0;3020560363.5;698968;2019-01-24 23:59:59
2019-01-25;4284.5;4191.0;4284.5;4140.0;2441499603.5;581294;2019-01-25 23:59:59
2019-01-28;4225.5;4147.0;4229.5;4115.0;1245609964.0;298695;2019-01-28 23:59:59
2019-01-29;4157.0;4188.0;4211.5;4124.0;1028534397.5;246023;2019-01-29 23:59:59
2019-01-30;4198.0;4164.0;4209.5;4150.0;652045491.0;156128;2019-01-30 23:59:59
2019-01-31;4200.0;4155.0;4220.0;4105.5;1519464572.5;366295;2019-01-31 23:59:59
2019-02-01;4155.5;4133.0;4187.0;4117.5;698572576.0;168771;2019-02-01 23:59:59
2019-02-04;4152.5;4130.0;4167.0;4122.5;862043828.0;207920;2019-02-04 23:59:59
2019-02-05;4132.0;4054.0;4155.0;4040.0;1223589854.0;299448;2019-02-05 23:59:59
2019-02-06;4055.0;4025.5;4059.5;4000.5;1346858098.0;335177;2019-02-06 23:59:59
2019-02-07;4023.5;4029.5;4155.0;4010.5;2419658274.0;592225;2019-02-07 23:59:59
2019-02-08;4029.5;4039.5;4099.5;4020.0;1569381859.0;387386;2019-02-08 23:59:59
2019-02-11;4060.0;4035.0;4074.0;4015.0;805136142.5;199433;2019-02-11 23:59:59
2019-02-12;4048.0;4035.0;4094.0;4015.0;1380321614.5;340504;2019-02-12 23:59:59
