Date;Open;High;Low;Close;Volume
2020-12-14;68.0;69.0;66.5;67.9;1697230.0
2020-12-15;67.98;68.51;66.88;67.8;312080.0
2020-12-16;68.4;68.55;66.6;66.87;520890.0
2020-12-17;66.9;67.7;65.5;65.8;234120.0
2020-12-18;65.01;66.49;65.0;65.51;84620.0
2020-12-21;65.8;66.4;64.1;64.5;177480.0
2020-12-22;64.36;65.9;63.48;63.51;129830.0
2020-12-23;63.55;64.9;62.55;64.49;75950.0
2020-12-24;64.5;64.51;61.9;62.75;367690.0
2020-12-25;62.51;64.4;62.51;64.25;137800.0
2020-12-28;64.4;64.4;62.26;62.42;354980.0
2020-12-29;62.66;63.9;62.36;63.39;77400.0
2020-12-30;63.12;64.0;62.47;63.99;46530.0
2021-01-04;63.33;65.23;63.3;64.01;80030.0
2021-01-05;64.02;64.96;63.9;64.93;66130.0
2021-01-06;64.96;66.35;64.0;64.41;98320.0
2021-01-08;64.13;65.0;63.9;64.32;63960.0
2021-01-11;65.0;65.88;62.99;64.88;239230.0
2021-01-12;64.4;66.3;64.4;65.67;113320.0
2021-01-13;66.0;66.6;65.52;65.97;51900.0
2021-01-14;66.61;67.4;65.51;66.77;62920.0
2021-01-15;66.26;67.5;64.87;64.98;93320.0
2021-01-18;65.36;67.5;64.24;65.88;92910.0
2021-01-19;65.6;65.9;65.0;65.4;25260.0
2021-01-20;65.64;65.64;64.5;64.96;48960.0
2021-01-21;64.82;65.46;63.6;64.07;100560.0
2021-01-22;64.19;65.3;63.71;64.49;50400.0
2021-01-25;65.15;65.3;64.08;64.7;86850.0
2021-01-26;64.65;65.39;64.63;64.8;41440.0
2021-01-27;65.4;66.0;64.63;64.64;77160.0
2021-01-28;65.89;66.06;64.63;64.74;36070.0
2021-01-29;64.95;65.78;64.3;65.03;40820.0
2021-02-01;65.04;65.36;64.51;64.98;21080.0
2021-02-02;64.68;65.9;64.68;65.6;38260.0
2021-02-03;65.8;65.99;64.79;65.02;33990.0
2021-02-04;65.64;65.64;63.55;64.25;116340.0
2021-02-05;64.86;65.0;64.0;64.19;55250.0
2021-02-08;64.19;64.95;63.75;63.99;83940.0
2021-02-09;63.86;64.7;62.89;62.99;156030.0
2021-02-10;63.96;63.96;61.92;62.09;270170.0
2021-02-11;62.09;62.49;59.74;60.0;649440.0
2021-02-12;60.28;60.55;57.5;59.54;371610.0
2021-02-15;59.98;61.1;59.24;60.45;294540.0
2021-02-16;61.0;61.09;59.5;59.97;204580.0
2021-02-17;59.92;60.35;59.24;59.49;96190.0
2021-02-18;60.18;61.11;56.71;57.0;360910.0
2021-02-19;57.49;58.3;55.64;56.67;302570.0
2021-02-20;56.82;59.0;56.82;58.0;211130.0
2021-02-22;58.1;59.0;56.67;58.37;114310.0
2021-02-24;58.68;58.86;57.51;57.52;60470.0
2021-02-25;57.98;58.09;57.5;57.92;68710.0
2021-02-26;57.92;58.0;55.53;57.5;68450.0
2021-03-01;57.5;58.2;57.05;57.52;43880.0
2021-03-02;57.5;57.79;56.86;57.17;68820.0
2021-03-03;57.1;58.0;56.91;57.57;71600.0
2021-03-04;57.82;57.82;57.02;57.5;71650.0
2021-03-05;57.99;57.99;57.01;57.3;34820.0
2021-03-09;57.97;57.97;57.01;57.39;63920.0
2021-03-10;57.35;57.81;56.93;57.62;85080.0
2021-03-11;57.84;57.84;57.41;57.63;37690.0
2021-03-12;57.84;57.89;57.1;57.12;41750.0
2021-03-15;57.15;59.0;57.15;57.81;109170.0
2021-03-16;57.52;58.48;57.21;57.69;48180.0
2021-03-17;57.92;58.19;57.2;57.3;42970.0
2021-03-18;57.31;58.39;57.29;58.05;55160.0
2021-03-19;58.05;58.13;57.31;57.84;43040.0
2021-03-22;58.0;58.39;57.31;57.55;59330.0
2021-03-23;58.35;58.38;57.32;57.59;84360.0
2021-03-24;57.62;58.32;57.01;57.6;64950.0
2021-03-25;57.95;58.05;57.26;57.56;39720.0
2021-03-26;57.56;58.1;57.23;57.4;31480.0
2021-03-29;57.5;58.29;57.1;57.66;62680.0
2021-03-30;58.12;58.16;57.6;57.89;48250.0
2021-03-31;58.25;58.87;57.15;57.2;208570.0
2021-04-01;57.28;58.0;57.12;57.42;70360.0
2021-04-02;57.63;57.9;57.23;57.85;62810.0
2021-04-05;57.86;58.39;57.7;58.1;81230.0
2021-04-06;58.32;58.59;57.53;58.27;113920.0
2021-04-07;58.35;58.8;57.97;58.36;52980.0
2021-04-08;58.45;59.97;58.11;58.38;90400.0
2021-04-09;58.7;59.38;58.01;58.21;35380.0
2021-04-12;59.0;59.0;58.22;58.7;61320.0
2021-04-13;59.15;59.98;58.5;59.19;70120.0
2021-04-14;59.24;59.7;58.65;58.91;59930.0
2021-04-15;59.2;59.49;58.11;58.22;36760.0
2021-04-16;58.1;59.15;57.42;57.93;121770.0
2021-04-19;57.77;58.57;57.54;57.98;58300.0
2021-04-20;57.93;58.41;57.52;57.78;38250.0
2021-04-21;57.9;58.09;57.54;57.8;38100.0
2021-04-22;58.2;58.2;57.62;57.9;32380.0
2021-04-23;58.3;58.3;57.5;57.6;46070.0
2021-04-26;57.77;58.09;57.0;57.39;103940.0
2021-04-27;57.99;57.99;57.05;57.25;52550.0
2021-04-28;57.22;57.91;56.4;56.43;135820.0
2021-04-29;56.5;57.66;55.7;55.8;137330.0
2021-04-30;56.48;56.8;55.2;55.57;66600.0
2021-05-04;55.59;56.87;55.0;56.25;60360.0
2021-05-05;56.01;56.85;55.84;56.34;34920.0
2021-05-06;56.5;56.53;55.1;55.88;36710.0
2021-05-07;55.52;56.37;55.5;55.73;17220.0
2021-05-10;55.91;56.13;55.43;55.73;31580.0
2021-05-11;56.39;56.39;55.01;55.18;35960.0
2021-05-12;55.49;55.89;55.01;55.6;38650.0
2021-05-13;55.9;55.9;54.8;55.13;61760.0
2021-05-14;55.6;55.79;55.03;55.1;19090.0
2021-05-17;55.6;55.79;54.85;54.97;32990.0
2021-05-18;54.88;55.54;54.88;55.07;50970.0
2021-05-19;55.05;55.54;54.45;54.58;74970.0
2021-05-20;55.54;55.54;53.5;53.77;108320.0
2021-05-21;53.75;54.45;53.18;53.81;40240.0
2021-05-24;53.92;54.28;53.6;53.61;31600.0
2021-05-25;54.3;54.3;53.12;53.39;46970.0
2021-05-26;53.25;53.5;53.15;53.27;31970.0
2021-05-27;53.98;53.98;53.16;53.49;60630.0
2021-05-28;53.2;54.33;53.2;54.33;40390.0
2021-05-31;54.33;59.0;54.3;56.81;917530.0
2021-06-01;57.5;57.5;54.81;55.51;277680.0
2021-06-02;55.87;57.06;55.06;55.5;367130.0
2021-06-03;56.09;56.09;54.1;54.89;147140.0
2021-06-04;54.67;55.35;54.67;55.25;21400.0
2021-06-07;55.42;55.56;54.68;54.9;56350.0
