begin;open;close;high;low;value;quantity;end
2019-01-03;429.15;425.85;429.8;422.4;652509993.5;1528310;2019-01-03 23:59:59
2019-01-04;427.1;430.4;439.0;426.2;702937677.0;1635750;2019-01-04 23:59:59
2019-01-08;427.0;423.6;427.0;420.65;867731354.5;2052160;2019-01-08 23:59:59
2019-01-09;425.0;427.7;428.9;425.0;1031882301.5;2413050;2019-01-09 23:59:59
2019-01-10;427.75;432.1;433.0;424.0;1069755342.5;2493560;2019-01-10 23:59:59
2019-01-11;432.0;434.6;435.3;430.2;1231375648.5;2839110;2019-01-11 23:59:59
2019-01-14;434.05;427.9;434.05;424.85;1007263070.5;2358220;2019-01-14 23:59:59
2019-01-15;428.6;424.35;431.35;421.3;1219706067.5;2863880;2019-01-15 23:59:59
2019-01-16;424.45;421.0;426.9;420.0;1305901812.5;3091660;2019-01-16 23:59:59
2019-01-17;422.0;415.9;422.45;414.2;1447886673.0;3468970;2019-01-17 23:59:59
2019-01-18;419.05;419.7;421.95;416.35;1890837244.0;4510760;2019-01-18 23:59:59
2019-01-21;421.1;422.3;424.8;418.95;1103843528.0;2613040;2019-01-21 23:59:59
2019-01-22;419.8;416.9;421.05;413.0;1888508343.0;4536990;2019-01-22 23:59:59
2019-01-23;417.0;419.9;421.25;416.2;1267448211.5;3021470;2019-01-23 23:59:59
2019-01-24;417.8;408.5;417.8;405.6;4318265914.5;10537210;2019-01-24 23:59:59
2019-01-25;408.3;414.0;414.3;404.6;2048626351.5;4986550;2019-01-25 23:59:59
2019-01-28;412.8;411.2;412.9;408.85;1364573732.5;3322570;2019-01-28 23:59:59
2019-01-29;410.0;412.9;413.65;406.3;1806290441.0;4411530;2019-01-29 23:59:59
2019-01-30;412.85;415.8;417.15;411.15;1469049439.0;3540780;2019-01-30 23:59:59
2019-01-31;417.5;411.25;418.6;411.25;1421185876.5;3428170;2019-01-31 23:59:59
2019-02-01;410.55;411.95;414.85;407.0;1241810743.5;3011440;2019-02-01 23:59:59
2019-02-04;412.95;411.0;414.4;411.0;1390139085.5;3375440;2019-02-04 23:59:59
2019-02-05;411.95;428.5;429.75;409.7;4431344060.5;10446570;2019-02-05 23:59:59
2019-02-06;429.45;421.55;429.45;421.1;1815376184.0;4283520;2019-02-06 23:59:59
2019-02-07;420.1;411.55;423.9;411.45;1445687780.5;3473380;2019-02-07 23:59:59
2019-02-08;410.95;411.6;414.75;408.5;965623050.5;2342100;2019-02-08 23:59:59
2019-02-11;412.0;410.5;418.75;410.5;1439030880.0;3471100;2019-02-11 23:59:59
2019-02-12;410.5;414.5;417.95;410.2;1631989666.5;3933830;2019-02-12 23:59:59
2019-02-13;414.95;401.6;416.15;401.5;2934982122.0;7221730;2019-02-13 23:59:59
2019-02-14;394.65;394.85;399.6;390.75;3228836718.0;8167130;2019-02-14 23:59:59
2019-02-15;397.0;403.5;405.35;397.0;1859328285.0;4641740;2019-02-15 23:59:59
2019-02-18;403.55;405.0;407.75;398.7;1415644418.5;3510240;2019-02-18 23:59:59
2019-02-19;404.8;402.95;408.35;399.8;1360706499.0;3370750;2019-02-19 23:59:59
2019-02-20;403.15;402.9;405.0;400.15;1118766578.5;2778420;2019-02-20 23:59:59
2019-02-21;403.3;396.45;404.8;395.0;1280398771.0;3206940;2019-02-21 23:59:59
2019-02-22;396.45;401.5;402.5;394.4;1137667678.5;2842690;2019-02-22 23:59:59
2019-02-25;400.45;396.5;404.15;395.15;1502865192.0;3768150;2019-02-25 23:59:59
2019-02-26;394.95;399.0;399.4;392.7;1228817989.5;3097610;2019-02-26 23:59:59
2019-02-27;400.0;400.4;401.0;397.65;1415023408.0;3544000;2019-02-27 23:59:59
2019-02-28;398.85;398.8;400.95;395.5;914189804.0;2299210;2019-02-28 23:59:59
2019-03-01;399.9;398.25;400.95;396.0;718039063.5;1805370;2019-03-01 23:59:59
2019-03-04;399.4;398.05;400.5;396.95;629820367.5;1579050;2019-03-04 23:59:59
2019-03-05;397.0;395.9;399.55;395.9;742216720.0;1867250;2019-03-05 23:59:59
2019-03-06;397.15;402.3;403.0;394.55;1078004667.5;2700450;2019-03-06 23:59:59
2019-03-07;402.0;402.0;402.85;398.7;942794534.5;2350970;2019-03-07 23:59:59
2019-03-11;401.9;399.75;401.95;397.55;747526984.0;1870450;2019-03-11 23:59:59
2019-03-12;400.0;397.5;400.35;395.0;1304269420.0;3280860;2019-03-12 23:59:59
2019-03-13;397.5;400.0;400.1;395.6;1015053900.0;2548640;2019-03-13 23:59:59
2019-03-14;400.3;398.3;407.8;398.3;2085067885.5;5183580;2019-03-14 23:59:59
2019-03-15;401.0;401.25;402.5;397.4;1437994033.5;3595160;2019-03-15 23:59:59
2019-03-18;399.7;399.0;399.7;396.2;1063967488.0;2672370;2019-03-18 23:59:59
2019-03-19;399.0;399.0;399.85;396.8;767532026.0;1928620;2019-03-19 23:59:59
2019-03-20;399.45;408.5;408.5;396.8;1631902921.0;4050750;2019-03-20 23:59:59
2019-03-21;408.0;409.5;410.45;405.65;2148463328.0;5261910;2019-03-21 23:59:59
2019-03-22;409.9;408.4;410.7;405.7;990611146.0;2430970;2019-03-22 23:59:59
2019-03-25;405.95;404.25;405.95;400.0;1332120280.5;3308140;2019-03-25 23:59:59
2019-03-26;404.0;405.2;409.7;402.15;819723112.5;2012970;2019-03-26 23:59:59
2019-03-27;405.55;404.35;408.0;402.55;1115904101.0;2753970;2019-03-27 23:59:59
2019-03-28;404.55;407.5;409.3;404.0;750914949.0;1844000;2019-03-28 23:59:59
2019-03-29;407.75;412.0;412.9;406.05;1906659780.5;4653870;2019-03-29 23:59:59
2019-04-01;413.0;419.7;421.25;411.9;2106223586.0;5034740;2019-04-01 23:59:59
2019-04-02;420.0;418.0;423.2;416.6;1034190348.5;2465170;2019-04-02 23:59:59
2019-04-03;419.5;417.95;421.7;417.3;934325452.5;2227390;2019-04-03 23:59:59
2019-04-04;418.1;422.45;423.75;416.95;1114343309.5;2644330;2019-04-04 23:59:59
2019-04-05;422.85;421.5;425.75;421.1;1074991608.5;2538520;2019-04-05 23:59:59
2019-04-08;423.0;420.9;425.4;418.2;1241552478.5;2946680;2019-04-08 23:59:59
2019-04-09;422.0;415.9;423.85;413.6;1787791141.5;4284580;2019-04-09 23:59:59
2019-04-10;415.05;425.5;425.5;413.85;1358828024.5;3227420;2019-04-10 23:59:59
2019-04-11;425.5;431.0;436.25;424.0;2581320959.0;5982950;2019-04-11 23:59:59
2019-04-12;433.0;432.5;437.25;430.0;1632073850.5;3762950;2019-04-12 23:59:59
2019-04-15;432.0;428.9;434.9;426.4;1233847246.0;2863880;2019-04-15 23:59:59
2019-04-16;430.0;435.15;436.7;428.55;2240575849.0;5174360;2019-04-16 23:59:59
2019-04-17;437.4;436.5;441.0;435.75;1563792082.5;3565870;2019-04-17 23:59:59
2019-04-18;435.65;435.65;437.75;432.55;1034831825.5;2379960;2019-04-18 23:59:59
2019-04-19;437.0;432.0;437.0;431.1;504552744.5;1165030;2019-04-19 23:59:59
2019-04-22;434.75;439.6;440.95;432.95;1047627081.5;2388950;2019-04-22 23:59:59
2019-04-23;440.95;441.0;449.0;437.7;2620658837.0;5910290;2019-04-23 23:59:59
2019-04-24;442.0;441.3;442.0;436.7;1445691242.0;3294060;2019-04-24 23:59:59
2019-04-25;441.0;436.0;441.2;432.95;1571165527.0;3592700;2019-04-25 23:59:59
2019-04-26;435.1;434.45;435.35;428.05;1596853936.5;3697730;2019-04-26 23:59:59
2019-04-29;433.0;433.7;435.75;429.5;689122789.5;1594870;2019-04-29 23:59:59
2019-04-30;433.95;428.8;434.4;426.8;1534610879.0;3576650;2019-04-30 23:59:59
2019-05-02;427.75;423.25;427.8;421.8;1270408116.0;2999910;2019-05-02 23:59:59
2019-05-03;425.15;423.55;427.6;421.8;684621969.0;1613880;2019-05-03 23:59:59
2019-05-06;421.2;425.0;425.4;418.0;607064724.0;1441260;2019-05-06 20:30:00
2019-05-07;426.75;422.0;427.25;416.9;1210013401.0;2872860;2019-05-07 23:59:59
2019-05-08;421.5;420.4;423.8;418.05;946574398.0;2247390;2019-05-08 23:59:59
2019-05-10;420.0;413.75;423.15;413.55;903160177.0;2171810;2019-05-10 23:59:59
2019-05-13;415.0;417.2;423.05;414.25;1617973812.5;3855490;2019-05-13 23:59:59
2019-05-14;420.0;420.95;422.8;419.55;1347630168.0;3202400;2019-05-14 23:59:59
2019-05-15;421.85;413.7;421.85;413.1;1590223044.0;3827440;2019-05-15 23:59:59
2019-05-16;413.7;412.0;415.4;410.6;1552668218.0;3757280;2019-05-16 23:59:59
2019-05-17;411.0;413.0;415.6;410.6;1002755092.5;2424170;2019-05-17 23:59:59
2019-05-20;414.4;408.2;415.45;408.1;933717563.5;2272060;2019-05-20 23:59:59
2019-05-21;409.35;415.95;420.0;408.0;1636799412.0;3933530;2019-05-21 23:59:59
2019-05-22;416.5;414.0;420.35;413.6;1293369223.5;3103260;2019-05-22 23:59:59
2019-05-23;413.65;417.05;420.0;411.8;1610054207.5;3869040;2019-05-23 23:59:59
2019-05-24;418.1;423.0;427.85;417.3;1435419692.5;3384130;2019-05-24 23:59:59
2019-05-27;422.0;425.4;426.55;422.0;314548185.5;740780;2019-05-27 23:59:59
2019-05-28;423.9;431.8;435.75;423.9;3262493262.0;7557090;2019-05-28 20:30:10
2019-05-29;429.0;437.0;437.0;426.8;2065576825.0;4761820;2019-05-29 23:59:59
2019-05-30;440.0;439.0;440.95;437.0;1510365653.0;3440340;2019-05-30 23:59:59
2019-05-31;436.5;433.0;438.1;428.3;1888973732.5;4372670;2019-05-31 23:59:59
2019-06-03;428.0;438.9;438.9;424.35;2603277676.0;6040470;2019-06-03 23:59:59
2019-06-04;438.3;435.0;445.05;433.5;2636105464.5;6013530;2019-06-04 23:59:59
2019-06-05;436.0;426.2;436.0;425.65;1240222487.5;2888490;2019-06-05 23:59:59
2019-06-06;427.0;422.9;428.4;419.6;1863959963.5;4404110;2019-06-06 23:59:59
2019-06-07;425.4;419.55;426.55;419.3;2201898610.0;5214090;2019-06-07 23:59:59
2019-06-10;421.7;422.0;424.25;420.1;1105563373.0;2621260;2019-06-10 23:59:59
2019-06-11;421.95;422.9;425.5;420.75;1624073385.5;3842630;2019-06-11 23:59:59
2019-06-13;421.35;422.0;425.6;420.15;2093126776.5;4950130;2019-06-13 23:59:59
2019-06-14;414.8;408.0;416.65;408.0;2824844779.5;6848050;2019-06-14 23:59:59
2019-06-17;409.55;408.1;415.0;407.8;2142188590.5;5217150;2019-06-17 23:59:59
2019-06-18;408.5;411.7;411.7;407.1;1889795086.5;4615800;2019-06-18 23:59:59
2019-06-19;411.95;409.25;412.75;408.0;1430493800.0;3491600;2019-06-19 23:59:59
2019-06-20;411.1;419.75;419.75;409.45;3715800292.0;8955030;2019-06-20 23:59:59
2019-06-21;419.2;419.1;420.0;414.55;2203138931.0;5271740;2019-06-21 23:59:59
2019-06-24;419.0;416.45;420.75;415.5;1243085906.0;2977930;2019-06-24 23:59:59
2019-06-25;415.0;412.15;415.6;410.4;1074716857.0;2606180;2019-06-25 23:59:59
2019-06-26;413.1;415.9;417.8;412.55;1512399272.5;3638530;2019-06-26 23:59:59
2019-06-27;417.05;415.1;418.4;412.75;1107879042.5;2667080;2019-06-27 23:59:59
2019-06-28;415.0;414.5;415.5;412.6;802280966.5;1938710;2019-06-28 23:59:59
2019-07-01;417.5;417.8;422.8;416.3;1718085773.0;4092820;2019-07-01 23:59:59
2019-07-02;417.85;417.0;420.15;415.1;875376875.5;2098800;2019-07-02 23:59:59
2019-07-03;416.9;420.0;422.2;414.75;1133698909.5;2701800;2019-07-03 23:59:59
2019-07-04;421.8;422.55;422.85;417.85;734135802.0;1742000;2019-07-04 23:59:59
2019-07-05;422.9;418.65;424.55;416.3;1434613085.5;3418740;2019-07-05 23:59:59
2019-07-08;417.95;419.25;421.9;417.2;1140143276.0;2714100;2019-07-08 23:59:59
2019-07-09;419.1;420.95;424.5;419.1;934571941.5;2214720;2019-07-09 23:59:59
2019-07-10;421.75;423.25;425.9;419.2;1405124314.5;3318820;2019-07-10 23:59:59
2019-07-11;425.1;418.4;425.1;417.3;1256210996.5;2989220;2019-07-11 23:59:59
2019-07-12;418.4;419.25;421.3;415.05;839030685.5;2003650;2019-07-12 23:59:59
2019-07-15;421.3;418.4;422.3;418.2;539566072.5;1285620;2019-07-15 23:59:59
2019-07-16;417.9;420.4;420.8;417.85;494026199.0;1176960;2019-07-16 23:59:59
2019-07-17;418.55;421.1;421.1;416.5;1006034768.0;2398020;2019-07-17 23:59:59
2019-07-18;420.35;417.0;421.25;416.7;796956110.5;1905000;2019-07-18 23:59:59
2019-07-19;418.75;420.45;420.65;418.1;494271581.5;1177370;2019-07-19 23:59:59
2019-07-22;416.0;420.45;423.95;415.25;675343014.0;1600980;2019-07-22 23:59:59
2019-07-23;420.75;428.0;431.15;420.6;1551444159.5;3622760;2019-07-23 23:59:59
2019-07-24;428.6;427.6;429.85;426.1;690379492.0;1613330;2019-07-24 23:59:59
2019-07-25;428.45;428.95;429.45;425.6;931314992.5;2177790;2019-07-25 23:59:59
2019-07-26;428.95;423.5;429.85;423.5;991038159.5;2319080;2019-07-26 23:59:59
2019-07-29;424.1;421.9;425.5;420.05;584658781.5;1384360;2019-07-29 23:59:59
2019-07-30;422.8;420.45;423.1;418.15;471156353.0;1120510;2019-07-30 23:59:59
2019-07-31;420.5;421.95;422.7;418.7;698305051.0;1657620;2019-07-31 23:59:59
2019-08-01;419.5;419.4;421.1;417.2;659688041.0;1575940;2019-08-01 23:59:59
2019-08-02;416.9;411.75;418.0;411.75;2059995752.5;4972330;2019-08-02 23:59:59
2019-08-05;411.5;406.3;413.85;405.7;1901589199.5;4653170;2019-08-05 23:59:59
2019-08-06;407.05;412.0;412.35;406.55;1650015535.0;4026310;2019-08-06 23:59:59
2019-08-07;411.05;406.55;411.45;405.35;1994090747.0;4885090;2019-08-07 23:59:59
2019-08-08;408.1;406.6;409.6;406.6;1097601989.0;2687430;2019-08-08 23:59:59
2019-08-09;407.5;404.6;407.95;404.3;1018305140.0;2509270;2019-08-09 20:29:59
2019-08-12;405.0;402.4;407.3;401.4;1430304809.5;3542730;2019-08-12 23:59:59
2019-08-13;402.4;405.3;408.45;400.7;1489465214.0;3677470;2019-08-13 23:59:59
2019-08-14;406.0;400.15;407.0;397.7;2134633414.5;5310260;2019-08-14 23:59:59
2019-08-15;402.2;404.25;405.2;400.05;1315046112.5;3263050;2019-08-15 23:59:59
2019-08-16;405.55;404.75;406.8;404.0;1029617429.0;2538360;2019-08-16 23:59:59
2019-08-19;406.45;404.0;407.85;402.3;1752286868.5;4333690;2019-08-19 23:59:59
2019-08-20;405.45;407.9;409.95;404.75;1824747787.0;4483930;2019-08-20 23:59:59
2019-08-21;416.95;410.4;416.95;410.0;2145469468.0;5199950;2019-08-21 23:59:59
2019-08-22;410.4;406.0;411.65;406.0;1308619451.0;3206680;2019-08-22 23:59:59
2019-08-23;407.3;405.6;408.35;404.4;1288510314.0;3170390;2019-08-23 23:59:59
2019-08-26;403.0;405.7;406.95;402.95;686475199.5;1692070;2019-08-26 23:59:59
2019-08-27;406.5;406.5;406.5;403.1;1968536483.0;4854590;2019-08-27 23:59:59
2019-08-28;406.45;404.8;406.8;403.8;1510017433.5;3728780;2019-08-28 23:59:59
2019-08-29;405.0;406.25;408.0;404.8;1350553234.0;3324820;2019-08-29 23:59:59
2019-08-30;406.45;406.95;409.35;405.7;1401613420.5;3442290;2019-08-30 23:59:59
2019-09-02;407.0;412.0;413.2;406.0;2126711569.5;5187190;2019-09-02 23:59:59
2019-09-03;411.85;410.4;412.0;406.95;1494309267.5;3651670;2019-09-03 23:59:59
2019-09-04;411.5;414.65;415.9;411.35;1692162195.5;4088810;2019-09-04 23:59:59
2019-09-05;416.5;418.3;420.55;414.65;2036330765.0;4868480;2019-09-05 23:59:59
2019-09-06;418.05;422.9;422.9;415.9;1584955085.0;3775590;2019-09-06 23:59:59
2019-09-09;424.0;423.9;424.45;420.7;1023178202.0;2421150;2019-09-09 23:59:59
2019-09-10;423.8;418.0;423.85;416.15;1881392382.0;4492560;2019-09-10 23:59:59
2019-09-11;417.1;416.1;419.45;413.65;1482978572.0;3555070;2019-09-11 23:59:59
2019-09-12;416.15;412.05;417.3;409.4;2282896565.0;5524440;2019-09-12 23:59:59
2019-09-13;412.0;410.05;412.8;408.85;998989837.0;2434620;2019-09-13 23:59:59
2019-09-16;418.5;429.7;431.3;415.05;7471738463.5;17572690;2019-09-16 23:59:59
2019-09-17;431.85;428.1;440.9;424.0;6739588017.0;15588740;2019-09-17 23:59:59
2019-09-18;428.5;426.0;429.7;423.5;1879383229.5;4412450;2019-09-18 23:59:59
2019-09-19;425.0;427.0;428.8;424.55;2041147595.5;4783790;2019-09-19 23:59:59
2019-09-20;426.8;428.3;428.3;425.05;1311659269.5;3070370;2019-09-20 23:59:59
2019-09-23;428.3;428.75;430.0;423.7;2085533601.0;4889900;2019-09-23 23:59:59
2019-09-24;431.05;425.5;431.5;423.6;1737231308.5;4074760;2019-09-24 23:59:59
2019-09-25;424.4;424.5;424.65;421.85;1631333551.0;3854470;2019-09-25 23:59:59
2019-09-26;424.55;422.55;425.95;422.05;896768928.5;2115790;2019-09-26 23:59:59
2019-09-27;422.5;422.5;424.75;422.2;733054281.0;1732210;2019-09-27 23:59:59
2019-09-30;422.2;419.3;422.5;419.3;982098165.5;2334340;2019-09-30 23:59:59
2019-10-01;420.35;420.65;423.25;419.9;1026716539.5;2434990;2019-10-01 23:59:59
2019-10-02;420.65;417.55;422.25;415.8;1432681578.0;3423590;2019-10-02 23:59:59
2019-10-03;416.75;413.1;417.8;410.7;1571771389.0;3801380;2019-10-03 23:59:59
2019-10-04;415.3;415.0;419.2;413.1;1214009184.5;2914480;2019-10-04 23:59:59
2019-10-07;416.7;418.5;422.9;414.55;1440808832.0;3432460;2019-10-07 23:59:59
2019-10-08;418.85;419.5;421.9;418.6;1109370436.0;2641420;2019-10-08 23:59:59
2019-10-09;420.35;421.15;422.0;419.3;1178734038.5;2802010;2019-10-09 23:59:59
2019-10-10;409.95;409.0;411.6;407.05;2079268520.0;5087850;2019-10-10 23:59:59
2019-10-11;410.75;411.65;412.7;409.6;1473447779.5;3582330;2019-10-11 23:59:59
2019-10-14;411.65;413.4;414.0;410.25;808514031.0;1960300;2019-10-14 23:59:59
2019-10-15;412.45;411.65;413.6;411.1;835288811.0;2025340;2019-10-15 23:59:59
2019-10-16;413.0;414.95;415.5;410.3;1277534548.5;3092880;2019-10-16 23:59:59
2019-10-17;414.9;417.65;418.6;413.2;1230110601.5;2951090;2019-10-17 23:59:59
2019-10-18;417.65;415.0;417.7;414.15;727648760.5;1751370;2019-10-18 23:59:59
2019-10-21;415.0;413.75;415.5;411.5;1074567032.5;2603480;2019-10-21 23:59:59
2019-10-22;413.45;417.4;417.4;412.55;1440429558.0;3475400;2019-10-22 23:59:59
2019-10-23;415.9;420.0;420.75;415.2;1721679188.5;4108860;2019-10-23 23:59:59
2019-10-24;420.0;420.5;422.5;419.3;1683861964.0;3998420;2019-10-24 23:59:59
2019-10-25;421.0;421.35;422.35;417.7;1038211612.0;2473210;2019-10-25 23:59:59
2019-10-28;422.2;421.4;424.3;420.0;895669799.5;2122390;2019-10-28 23:59:59
2019-10-29;421.4;429.2;430.45;419.1;2443902691.0;5713870;2019-10-29 23:59:59
2019-10-30;428.75;432.65;433.5;425.7;1992369515.0;4624480;2019-10-30 23:59:59
2019-10-31;432.5;426.0;435.5;426.0;1497169355.0;3477500;2019-10-31 23:59:59
2019-11-01;426.5;434.4;435.4;424.0;2161136452.0;5003510;2019-11-01 23:59:59
2019-11-05;437.8;451.4;453.45;434.45;3885699538.0;8677320;2019-11-05 23:59:59
2019-11-06;452.05;454.5;454.5;443.35;4071180252.5;9041070;2019-11-06 23:59:59
2019-11-07;452.0;463.5;464.7;450.45;2736193376.0;5957260;2019-11-07 23:59:59
2019-11-08;462.0;454.25;462.85;453.65;1907612063.0;4171670;2019-11-08 23:59:59
2019-11-11;453.05;453.0;453.85;446.4;1450627068.0;3220850;2019-11-11 23:59:59
2019-11-12;454.0;461.05;468.3;453.2;3348375797.5;7240110;2019-11-12 23:59:59
2019-11-13;458.1;459.5;461.45;455.1;1628848098.5;3554510;2019-11-13 23:59:59
2019-11-14;459.2;457.3;460.2;451.7;2043105978.0;4477310;2019-11-14 23:59:59
2019-11-15;457.3;458.0;460.7;453.7;1372045861.0;3003220;2019-11-15 23:59:59
2019-11-18;459.6;451.0;461.5;450.1;1381700324.5;3032390;2019-11-18 23:59:59
2019-11-19;451.25;452.55;455.0;448.5;1195670661.0;2644550;2019-11-19 23:59:59
2019-11-20;450.9;450.35;452.5;441.65;1981155703.0;4434830;2019-11-20 23:59:59
2019-11-21;449.8;452.85;454.0;445.75;879092421.5;1952620;2019-11-21 23:59:59
2019-11-22;452.2;453.0;457.4;450.8;1152023078.0;2537450;2019-11-22 23:59:59
2019-11-25;455.0;455.0;456.5;453.0;794452798.0;1748740;2019-11-25 23:59:59
2019-11-26;455.6;453.0;456.35;445.1;2824011008.0;6255680;2019-11-26 23:59:59
2019-11-27;452.0;445.9;452.85;445.1;1621126823.0;3604600;2019-11-27 23:59:59
2019-11-28;445.45;445.5;447.2;442.5;988579973.0;2224970;2019-11-28 23:59:59
