begin;open;close;high;low;value;quantity;end
2019-01-03;186.37;186.99;191.5;186.0;7606839232.6;40249190;2019-01-03 23:59:59
2019-01-04;188.0;190.99;190.99;187.77;6178982723.2;32583360;2019-01-04 23:59:59
2019-01-08;191.65;191.24;193.18;190.37;7439747926.7;38856560;2019-01-08 23:59:59
2019-01-09;192.71;197.0;197.0;192.1;13793750286.7;70707820;2019-01-09 23:59:59
2019-01-10;196.25;196.75;197.64;195.03;11072132895.5;56378780;2019-01-10 23:59:59
2019-01-11;197.11;196.8;198.96;195.61;12591455167.1;63811140;2019-01-11 23:59:59
2019-01-14;195.7;196.8;197.44;194.0;8750022132.0;44774070;2019-01-14 23:59:59
2019-01-15;197.4;198.0;198.84;195.91;10510647840.0;53217180;2019-01-15 23:59:59
2019-01-16;198.64;201.26;201.3;198.02;12483769929.2;62469270;2019-01-16 23:59:59
2019-01-17;201.66;203.32;203.55;201.05;12142891257.6;59989420;2019-01-17 23:59:59
2019-01-18;204.6;208.44;208.44;203.83;15305706306.9;74335240;2019-01-18 23:59:59
2019-01-21;208.91;207.17;210.2;207.17;11585526896.5;55523010;2019-01-21 23:59:59
2019-01-22;206.66;207.95;208.88;205.63;10635473806.4;51361560;2019-01-22 23:59:59
2019-01-23;207.78;210.4;212.0;207.52;16773945829.3;79765560;2019-01-23 23:59:59
2019-01-24;210.4;212.2;213.43;208.55;16607825656.3;78537190;2019-01-24 23:59:59
2019-01-25;212.76;212.0;214.14;211.01;12531962919.7;58844660;2019-01-25 23:59:59
2019-01-28;212.0;209.7;213.3;207.63;11922142893.0;56537300;2019-01-28 23:59:59
2019-01-29;209.71;213.61;214.49;206.91;13471004729.3;63963210;2019-01-29 23:59:59
2019-01-30;213.8;213.14;215.7;212.22;12699037074.2;59319900;2019-01-30 23:59:59
2019-01-31;215.17;217.9;218.1;214.67;17427452979.0;80344740;2019-01-31 23:59:59
2019-02-01;218.0;216.29;218.7;215.01;12025357439.1;55512060;2019-02-01 23:59:59
2019-02-04;216.25;215.5;217.14;215.06;8834464267.9;40925530;2019-02-04 23:59:59
2019-02-05;216.0;217.85;218.55;214.61;10141679731.1;46690970;2019-02-05 23:59:59
2019-02-06;217.9;216.59;218.15;215.41;10000436468.6;46155500;2019-02-06 23:59:59
2019-02-07;216.0;211.01;216.65;210.6;14794746671.6;69248500;2019-02-07 23:59:59
2019-02-08;210.0;210.43;211.93;208.7;10896313543.1;51799020;2019-02-08 23:59:59
2019-02-11;211.0;214.0;214.72;210.8;10599898803.9;49657780;2019-02-11 23:59:59
2019-02-12;214.8;219.1;219.45;214.6;16027207897.2;73724050;2019-02-12 23:59:59
2019-02-13;219.62;213.9;220.7;213.1;18429888789.7;85228940;2019-02-13 23:59:59
2019-02-14;208.5;204.43;209.85;201.7;32089490182.2;155830530;2019-02-14 23:59:59
2019-02-15;205.92;208.0;209.0;205.52;16440157393.8;79213270;2019-02-15 23:59:59
2019-02-18;208.83;204.19;209.73;203.2;15744768858.2;76658220;2019-02-18 23:59:59
2019-02-19;203.6;202.08;205.6;201.1;13555179033.4;66705090;2019-02-19 23:59:59
2019-02-20;203.9;206.89;206.89;203.23;13696412235.1;66813180;2019-02-20 23:59:59
2019-02-21;207.55;203.41;207.87;202.3;13952696321.2;68159040;2019-02-21 23:59:59
2019-02-22;203.61;205.25;206.1;203.03;9375758283.4;45768640;2019-02-22 23:59:59
2019-02-25;205.5;205.86;208.6;204.2;14637840913.3;70929780;2019-02-25 23:59:59
2019-02-26;204.8;205.8;205.8;202.9;10380382815.4;50829020;2019-02-26 23:59:59
2019-02-27;206.05;205.4;206.9;203.9;11103169212.5;54146260;2019-02-27 23:59:59
2019-02-28;205.0;207.8;208.89;204.16;12861351787.8;62340230;2019-02-28 23:59:59
2019-03-01;208.48;206.54;209.0;206.1;9559048167.2;46106110;2019-03-01 23:59:59
2019-03-04;207.0;205.5;207.5;205.25;6528156160.1;31661100;2019-03-04 23:59:59
2019-03-05;204.9;202.92;204.9;202.25;9445365469.6;46422920;2019-03-05 23:59:59
2019-03-06;202.74;205.0;205.7;202.6;10817493630.0;52940220;2019-03-06 23:59:59
2019-03-07;205.1;203.95;206.67;203.5;9440119640.4;46079750;2019-03-07 23:59:59
2019-03-11;203.2;205.25;205.6;202.56;8673746363.1;42484580;2019-03-11 23:59:59
2019-03-12;206.5;205.1;206.89;204.4;8692197347.6;42292620;2019-03-12 23:59:59
2019-03-13;204.69;206.0;206.0;203.8;5846626647.6;28536880;2019-03-13 23:59:59
2019-03-14;205.6;203.66;206.38;203.5;8972775024.4;43879390;2019-03-14 23:59:59
2019-03-15;204.2;203.55;204.95;203.55;7336045663.3;35953260;2019-03-15 23:59:59
2019-03-18;204.25;205.9;206.14;204.11;8389470396.4;40854520;2019-03-18 23:59:59
2019-03-19;206.4;207.7;208.31;205.93;9903533910.2;47791920;2019-03-19 23:59:59
2019-03-20;207.6;209.8;209.84;206.4;11569085791.0;55535200;2019-03-20 23:59:59
2019-03-21;210.25;210.61;212.29;209.77;14163016455.2;67037150;2019-03-21 23:59:59
2019-03-22;210.61;207.7;211.29;206.7;10313343201.3;49421400;2019-03-22 23:59:59
2019-03-25;206.63;214.0;214.2;205.55;22848249253.9;108111450;2019-03-25 23:59:59
