begin;open;close;high;low;value;quantity;end
2021-12-14;914.4;897.4;950.0;842.8;1565151030.8;1784849;2021-12-14 23:59:59
2021-12-15;900.0;961.0;973.8;883.6;2107221289.8;2234113;2021-12-15 23:59:59
2021-12-16;966.0;982.8;1019.0;951.4;2416470817.4;2446405;2021-12-16 23:59:59
2021-12-17;983.0;962.0;1002.2;940.0;1057159726.2;1109841;2021-12-17 23:59:59
2021-12-20;957.2;912.0;957.8;891.0;1037947894.8;1132410;2021-12-20 23:59:59
2021-12-21;915.0;924.6;948.0;915.0;710278531.8;766547;2021-12-21 23:59:59
2021-12-22;924.6;912.2;929.6;895.0;836681988.4;917662;2021-12-22 23:59:59
2021-12-23;912.2;880.2;918.0;872.6;1416978117.6;1592365;2021-12-23 23:59:59
2021-12-24;878.4;877.0;884.2;850.0;1474501677.0;1703966;2021-12-24 23:59:59
2021-12-27;878.0;884.8;899.0;877.0;1011151700.2;1136117;2021-12-27 23:59:59
2021-12-28;885.0;876.6;894.2;870.0;892531143.2;1012598;2021-12-28 23:59:59
2021-12-29;876.0;865.4;883.0;860.0;585991799.0;674707;2021-12-29 23:59:59
2021-12-30;865.4;872.4;874.0;859.4;338826956.6;390665;2021-12-30 23:59:59
2022-01-03;873.0;885.8;889.8;869.0;411726556.6;467181;2022-01-03 23:59:59
2022-01-04;888.8;874.0;888.8;865.2;509271682.8;580670;2022-01-04 23:59:59
2022-01-05;874.0;816.2;878.8;813.2;1117989360.2;1320094;2022-01-05 23:59:59
2022-01-06;811.6;793.0;836.2;774.0;1805262159.0;2259097;2022-01-06 23:59:59
2022-01-10;796.0;766.8;805.0;752.6;1030828768.8;1338276;2022-01-10 23:59:59
2022-01-11;770.0;770.8;780.2;756.0;1030890838.4;1341606;2022-01-11 23:59:59
2022-01-12;770.0;770.4;791.6;763.0;1304625039.4;1678976;2022-01-12 23:59:59
2022-01-13;768.4;754.6;783.0;739.4;1161175199.0;1513137;2022-01-13 23:59:59
2022-01-14;754.6;686.4;765.0;660.0;3023797942.2;4356562;2022-01-14 23:59:59
2022-01-17;686.4;710.6;722.2;652.0;1701769677.6;2462747;2022-01-17 23:59:59
2022-01-18;710.6;662.8;718.8;640.0;2676602653.2;4020352;2022-01-18 23:59:59
2022-01-19;664.8;675.6;696.8;612.2;2871070800.4;4364350;2022-01-19 23:59:59
2022-01-20;670.4;683.0;741.0;670.4;1973146281.6;2822694;2022-01-20 23:59:59
2022-01-21;684.0;645.8;688.4;640.2;1625530761.6;2457243;2022-01-21 23:59:59
2022-01-24;651.0;596.2;662.4;556.8;3177904313.0;5361048;2022-01-24 23:59:59
2022-01-25;595.0;594.2;613.4;562.2;1822918490.4;3144321;2022-01-25 23:59:59
2022-01-26;596.0;583.0;604.0;567.8;1748433494.4;2974043;2022-01-26 23:59:59
2022-01-27;576.0;591.2;609.4;571.0;2127172759.0;3584338;2022-01-27 23:59:59
2022-01-28;594.4;597.0;607.8;585.0;1367835891.6;2296423;2022-01-28 23:59:59
2022-01-31;597.2;630.0;635.0;597.2;1782620553.0;2904546;2022-01-31 23:59:59
2022-02-01;630.2;655.6;666.6;630.2;1911143925.0;2948558;2022-02-01 23:59:59
2022-02-02;659.8;633.0;685.0;615.6;1956755220.2;3000361;2022-02-02 23:59:59
2022-02-03;621.0;602.0;624.8;588.8;1623492182.2;2683731;2022-02-03 23:59:59
2022-02-04;611.0;580.8;623.0;555.0;1770556397.4;3017470;2022-02-04 23:59:59
2022-02-07;583.6;581.8;592.8;564.8;802770096.8;1389919;2022-02-07 23:59:59
2022-02-08;580.0;609.8;614.0;578.2;842533885.4;1416064;2022-02-08 23:59:59
2022-02-09;610.0;635.0;639.6;609.0;939383067.4;1495182;2022-02-09 23:59:59
2022-02-10;647.0;607.4;656.4;598.4;1655180640.2;2669195;2022-02-10 23:59:59
2022-02-11;607.4;584.8;612.0;575.0;1049268151.6;1773598;2022-02-11 23:59:59
2022-02-14;580.2;596.0;596.0;559.8;1179351756.6;2041158;2022-02-14 23:59:59
2022-02-15;595.0;617.4;628.6;594.2;1271583946.0;2076266;2022-02-15 23:59:59
2022-02-16;619.4;614.6;640.0;596.0;1326846723.2;2152867;2022-02-16 23:59:59
2022-02-17;614.4;588.0;614.4;580.0;952485906.4;1613568;2022-02-17 23:59:59
2022-02-18;589.0;559.2;601.6;549.4;1251887529.2;2196328;2022-02-18 23:59:59
2022-02-21;555.0;420.0;580.6;399.8;5128979932.8;10782171;2022-02-21 23:59:59
2022-02-22;419.8;479.8;485.8;348.2;3938936434.4;9240590;2022-02-22 23:59:59
2022-02-24;429.2;309.0;429.2;235.0;1491123099.0;5108895;2022-02-24 23:59:59
2022-02-25;277.2;296.0;366.4;277.2;1058084399.6;3471329;2022-02-25 23:59:59
2022-03-29;299.0;510.0;534.4;299.0;1739494098.8;3667479;2022-03-29 23:59:59
2022-03-30;561.0;559.4;699.8;530.4;3526370232.2;5857240;2022-03-30 23:59:59
2022-03-31;563.2;567.0;596.0;510.6;1460417529.8;2594786;2022-03-31 23:59:59
2022-04-01;578.8;556.2;578.8;530.0;693244074.8;1244081;2022-04-01 23:59:59
2022-04-04;565.0;536.0;565.0;515.0;612504728.8;1126935;2022-04-04 23:59:59
2022-04-05;543.2;502.2;543.2;476.8;666068176.2;1307850;2022-04-05 23:59:59
2022-04-06;502.2;502.0;550.0;483.0;937511770.2;1799640;2022-04-06 23:59:59
2022-04-07;502.0;492.0;524.6;490.0;383978558.2;759243;2022-04-07 23:59:59
2022-04-08;507.0;497.8;523.0;486.0;432917072.6;858581;2022-04-08 23:59:59
2022-04-11;520.4;488.0;520.4;486.0;264761565.6;530222;2022-04-11 23:59:59
2022-04-12;489.8;468.8;490.8;454.8;249024233.0;530294;2022-04-12 23:59:59
2022-04-13;466.0;466.8;481.8;457.6;185274381.4;395456;2022-04-13 23:59:59
2022-04-14;468.0;430.2;473.6;426.0;250987122.8;563026;2022-04-14 23:59:59
2022-04-15;425.2;422.6;440.2;407.8;201710029.6;477269;2022-04-15 23:59:59
2022-04-18;424.4;426.0;467.4;423.0;409682901.8;927601;2022-04-18 23:59:59
