begin;open;close;high;low;value;quantity;end
2019-01-03;0.033905;0.03421;0.03436;0.03366;307679094.85;9013110000;2019-01-03 23:59:59
2019-01-04;0.03424;0.03462;0.03462;0.03422;296856106.25;8609390000;2019-01-04 23:59:59
2019-01-08;0.0347;0.03484;0.034995;0.03447;383012779.55;11018110000;2019-01-08 23:59:59
2019-01-09;0.035;0.035;0.03514;0.034845;429540026.75;12269360000;2019-01-09 23:59:59
2019-01-10;0.035;0.035045;0.03506;0.03465;448676794.15;12868910000;2019-01-10 23:59:59
2019-01-11;0.03512;0.035185;0.035435;0.03496;528556158.7;15016080000;2019-01-11 23:59:59
2019-01-14;0.035;0.0353;0.035335;0.034805;325828804.15;9282210000;2019-01-14 23:59:59
2019-01-15;0.035335;0.035465;0.0358;0.035315;489075094.2;13762220000;2019-01-15 23:59:59
2019-01-16;0.0356;0.03565;0.03573;0.03537;310874843.5;8738100000;2019-01-16 23:59:59
2019-01-17;0.03568;0.035705;0.03578;0.035555;310759846.55;8713650000;2019-01-17 23:59:59
2019-01-18;0.035805;0.0371;0.0371;0.035805;1266351504.5;34601560000;2019-01-18 23:59:59
2019-01-21;0.03718;0.03689;0.03763;0.036805;868945871.4;23355290000;2019-01-21 23:59:59
2019-01-22;0.03685;0.0371;0.03732;0.036605;809610437.9;21930220000;2019-01-22 23:59:59
2019-01-23;0.03714;0.037535;0.037685;0.03702;884602823.9;23644490000;2019-01-23 23:59:59
2019-01-24;0.0376;0.036925;0.03798;0.03674;1426419576.6;38187530000;2019-01-24 23:59:59
2019-01-25;0.03702;0.03696;0.037175;0.03664;618785018.6;16794490000;2019-01-25 23:59:59
2019-01-28;0.037015;0.03694;0.037425;0.036715;659376972.1;17773950000;2019-01-28 23:59:59
2019-01-29;0.03694;0.03742;0.03747;0.03671;499413471.4;13449140000;2019-01-29 23:59:59
2019-01-30;0.037385;0.03748;0.0375;0.0372;371644290.3;9944890000;2019-01-30 23:59:59
2019-01-31;0.03765;0.03777;0.037895;0.037425;524971172.4;13944430000;2019-01-31 23:59:59
2019-02-01;0.03761;0.037915;0.03804;0.037555;619128609.65;16370750000;2019-02-01 23:59:59
2019-02-04;0.03797;0.038345;0.03842;0.03795;573752058.35;14994430000;2019-02-04 23:59:59
2019-02-05;0.038445;0.03821;0.0385;0.038085;478009624.1;12475430000;2019-02-05 23:59:59
2019-02-06;0.03821;0.03761;0.03821;0.03761;598693561.4;15812430000;2019-02-06 23:59:59
2019-02-07;0.03757;0.03701;0.03757;0.03695;549020155.75;14763560000;2019-02-07 23:59:59
2019-02-08;0.03685;0.03713;0.03731;0.03676;451322641.5;12170460000;2019-02-08 23:59:59
2019-02-11;0.037105;0.0376;0.037615;0.037105;408404706.95;10899170000;2019-02-11 23:59:59
2019-02-12;0.037795;0.0379;0.038065;0.037685;514419648.85;13570850000;2019-02-12 23:59:59
2019-02-13;0.037995;0.036985;0.038005;0.03693;781561664.55;20971120000;2019-02-13 23:59:59
2019-02-14;0.0364;0.03604;0.036465;0.035615;1317542711.75;36544690000;2019-02-14 23:59:59
2019-02-15;0.036175;0.0366;0.03661;0.036115;536697255.0;14730840000;2019-02-15 23:59:59
2019-02-18;0.0367;0.03633;0.0369;0.036065;451684486.1;12391770000;2019-02-18 23:59:59
2019-02-19;0.03635;0.036245;0.036695;0.036005;379872589.5;10464070000;2019-02-19 23:59:59
2019-02-20;0.036205;0.03642;0.03654;0.036205;264014667.0;7251600000;2019-02-20 23:59:59
2019-02-21;0.03652;0.036065;0.03652;0.035815;489218445.45;13548950000;2019-02-21 23:59:59
2019-02-22;0.03607;0.03608;0.03628;0.03591;299925244.05;8297490000;2019-02-22 23:59:59
2019-02-25;0.036225;0.03624;0.036395;0.03591;392802540.3;10851070000;2019-02-25 23:59:59
2019-02-26;0.036155;0.0358;0.036265;0.035775;490601840.3;13641460000;2019-02-26 23:59:59
2019-02-27;0.03595;0.035955;0.036035;0.03565;589370570.35;16444960000;2019-02-27 23:59:59
2019-02-28;0.03592;0.0359;0.036145;0.03576;377069624.55;10494720000;2019-02-28 23:59:59
2019-03-01;0.036;0.03603;0.036095;0.0359;346193288.3;9621840000;2019-03-01 23:59:59
