begin;open;close;high;low;value;quantity;end
2019-01-03;1918.5;1859.5;1918.5;1857.0;279689986.5;148487;2019-01-03 23:59:59
2019-01-04;1861.5;1916.0;1924.0;1861.5;355657058.0;187797;2019-01-04 23:59:59
2019-01-08;1933.0;1926.5;1953.0;1919.0;221664462.5;114452;2019-01-08 23:59:59
2019-01-09;1936.5;1960.0;1970.0;1934.0;260607755.0;133630;2019-01-09 23:59:59
2019-01-10;1970.5;1985.0;1985.5;1955.0;280846745.5;142546;2019-01-10 23:59:59
2019-01-11;1983.0;1983.0;1997.0;1973.5;201856040.0;101638;2019-01-11 23:59:59
2019-01-14;1985.0;1992.5;1997.0;1964.5;213221039.0;107716;2019-01-14 23:59:59
2019-01-15;1993.5;1999.5;2009.5;1980.5;380519753.0;190886;2019-01-15 23:59:59
2019-01-16;1997.5;1980.0;2006.0;1977.0;356762064.0;179500;2019-01-16 23:59:59
2019-01-17;1979.5;1993.5;2006.0;1960.0;306446233.0;154687;2019-01-17 23:59:59
2019-01-18;2024.0;2044.5;2059.5;2020.5;566206439.5;277420;2019-01-18 23:59:59
2019-01-21;2048.5;2044.5;2049.5;2040.0;99824364.0;48804;2019-01-21 23:59:59
2019-01-22;2033.0;2051.0;2077.0;2011.0;283846488.5;138732;2019-01-22 23:59:59
2019-01-23;2039.0;2060.0;2075.5;2035.0;390946174.5;190116;2019-01-23 23:59:59
2019-01-24;2057.0;2083.0;2098.0;2050.0;452167175.0;217522;2019-01-24 23:59:59
2019-01-25;2099.5;2152.0;2172.5;2095.5;590472835.0;278632;2019-01-25 23:59:59
2019-01-28;2170.0;2167.0;2188.5;2124.0;660470538.0;305057;2019-01-28 23:59:59
2019-01-29;2176.5;2152.0;2184.0;2151.5;340435393.5;156601;2019-01-29 23:59:59
2019-01-30;2147.0;2157.0;2172.5;2136.0;282189026.0;131154;2019-01-30 23:59:59
2019-01-31;2180.5;2212.0;2214.5;2180.0;580108608.0;264189;2019-01-31 23:59:59
2019-02-01;2200.2;2197.2;2215.0;2165.4;372501515.4;169741;2019-02-01 23:59:59
2019-02-04;2195.0;2212.0;2215.0;2195.0;185023351.8;83835;2019-02-04 23:59:59
2019-02-05;2220.0;2250.8;2262.0;2215.6;498334500.0;222590;2019-02-05 23:59:59
2019-02-06;2261.0;2244.0;2261.6;2225.2;293053948.6;130657;2019-02-06 23:59:59
2019-02-07;2230.8;2192.2;2231.4;2181.8;307039442.4;139310;2019-02-07 23:59:59
2019-02-08;2189.0;2163.4;2189.0;2142.4;286706018.4;132679;2019-02-08 23:59:59
2019-02-11;2170.0;2196.0;2223.0;2170.0;367886909.4;166813;2019-02-11 23:59:59
2019-02-12;2206.0;2230.0;2241.8;2200.4;394123326.4;177278;2019-02-12 23:59:59
2019-02-13;2233.0;2258.0;2258.2;2201.0;860880935.6;385668;2019-02-13 23:59:59
