<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
22/06/05;00:00;220.0000000;220.0000000;217.0000000;219.0000000;6400
23/06/05;00:00;219.0000000;230.0000000;219.0000000;223.0000000;4300
24/06/05;00:00;225.0000000;227.0000000;216.0000000;216.0000000;1800
27/06/05;00:00;213.5000000;213.5000000;211.0000000;211.0000000;600
28/06/05;00:00;214.0000000;216.0000000;208.0000000;208.0000000;4300
29/06/05;00:00;207.0100000;210.0000000;207.0000000;209.0000000;1600
30/06/05;00:00;209.2000000;217.4000000;208.0000000;208.0000000;600
01/07/05;00:00;208.0000000;210.0000000;207.0000000;210.0000000;14800
04/07/05;00:00;215.9000000;217.0000000;211.0100000;212.0000000;13200
05/07/05;00:00;212.5000000;216.0000000;212.5000000;216.0000000;4600
06/07/05;00:00;220.0000000;225.9500000;219.0000000;225.9500000;7700
07/07/05;00:00;225.0000000;228.9000000;224.0000000;225.0000000;31600
08/07/05;00:00;230.0000000;230.0000000;227.5500000;229.9900000;4400
11/07/05;00:00;233.5000000;233.5000000;230.0000000;230.0000000;12200
12/07/05;00:00;229.8000000;230.0000000;226.0100000;230.0000000;13000
13/07/05;00:00;230.0100000;234.0000000;229.5100000;234.0000000;3700
14/07/05;00:00;231.0000000;234.0000000;230.5000000;230.5000000;1300
15/07/05;00:00;229.0000000;229.0000000;227.6100000;227.8100000;2200
18/07/05;00:00;226.5000000;229.4000000;226.5000000;229.4000000;600
19/07/05;00:00;230.0000000;231.0000000;230.0000000;231.0000000;300
20/07/05;00:00;229.0000000;233.0000000;229.0000000;232.5100000;3400
21/07/05;00:00;232.8100000;236.0000000;231.0000000;231.0000000;3600
22/07/05;00:00;233.0000000;236.0000000;232.0000000;236.0000000;6600
25/07/05;00:00;239.8500000;243.0000000;239.8500000;242.0000000;4000
26/07/05;00:00;242.0000000;244.0000000;239.0000000;240.0000000;9400
27/07/05;00:00;238.5000000;248.0000000;238.5000000;245.0000000;11500
28/07/05;00:00;250.0000000;250.0000000;241.0000000;246.0000000;3200
29/07/05;00:00;246.0000000;246.0000000;240.0000000;240.9000000;5700
01/08/05;00:00;241.0000000;243.0000000;237.5100000;243.0000000;4700
02/08/05;00:00;240.1500000;244.0000000;240.1500000;244.0000000;15000
03/08/05;00:00;243.0000000;247.0000000;242.0000000;242.0000000;7400
04/08/05;00:00;243.0000000;246.9900000;243.0000000;245.0000000;800
05/08/05;00:00;243.0000000;243.5000000;241.3100000;243.0000000;10400
08/08/05;00:00;242.0000000;242.0100000;239.0000000;239.0000000;8600
09/08/05;00:00;240.0000000;244.5000000;240.0000000;243.2000000;4600
10/08/05;00:00;249.9800000;250.0000000;243.7000000;243.7000000;700
11/08/05;00:00;243.3300000;243.3300000;241.1000000;241.1000000;600
12/08/05;00:00;241.0000000;243.0000000;241.0000000;243.0000000;1200
15/08/05;00:00;240.0000000;243.0000000;238.5000000;238.5000000;6000
16/08/05;00:00;243.0000000;245.9000000;242.0100000;245.0000000;3800
17/08/05;00:00;245.0000000;245.8500000;245.0000000;245.1000000;3700
18/08/05;00:00;245.0400000;248.9000000;244.0000000;248.0000000;5800
19/08/05;00:00;247.6500000;248.5000000;243.9000000;246.0000000;8200
22/08/05;00:00;250.0000000;250.0000000;244.1000000;248.0000000;5800
23/08/05;00:00;248.0000000;248.0000000;244.8100000;244.8100000;1300
24/08/05;00:00;244.8000000;244.8000000;244.0000000;244.0000000;300
25/08/05;00:00;244.0000000;246.0000000;244.0000000;245.1000000;3600
26/08/05;00:00;244.5000000;244.5000000;241.0100000;241.0100000;7500
29/08/05;00:00;242.5000000;243.0000000;228.9600000;241.0000000;8100
30/08/05;00:00;244.0000000;245.4000000;240.0000000;240.0000000;15300
31/08/05;00:00;240.0000000;240.0000000;236.0000000;236.5000000;5400
01/09/05;00:00;235.1000000;238.0000000;232.2200000;236.0000000;8300
02/09/05;00:00;235.0100000;238.5000000;234.0000000;234.0000000;3100
05/09/05;00:00;234.5000000;238.0000000;234.0000000;234.0000000;3500
06/09/05;00:00;231.0000000;237.5000000;231.0000000;233.1100000;15200
07/09/05;00:00;233.0000000;233.0000000;227.0000000;231.0000000;7800
08/09/05;00:00;231.9000000;234.9900000;231.9000000;234.9900000;1200
09/09/05;00:00;233.0000000;237.9000000;232.7800000;237.9000000;4200
12/09/05;00:00;238.5000000;245.0000000;238.5000000;241.0000000;10200
13/09/05;00:00;240.0000000;246.0500000;240.0000000;246.0000000;1600
14/09/05;00:00;240.0000000;246.9900000;236.0000000;246.9900000;8200
15/09/05;00:00;245.0000000;247.7700000;244.0000000;247.7700000;1400
16/09/05;00:00;247.0000000;250.0000000;247.0000000;247.0000000;7100
19/09/05;00:00;246.5000000;253.9900000;246.5000000;253.9900000;2000
20/09/05;00:00;260.0000000;265.0000000;250.0000000;257.0000000;4700
