<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
16/05/06;00:00;810.0000000;810.0000000;730.0000000;730.0000000;600
07/06/06;00:00;638.0000000;641.0000000;633.0000000;636.0000000;2000
08/06/06;00:00;635.2600000;644.0000000;630.1300000;644.0000000;900
14/06/06;00:00;600.0000000;600.0000000;595.0000000;597.0000000;3100
15/06/06;00:00;595.0000000;620.0000000;595.0000000;597.0000000;6500
16/06/06;00:00;540.1300000;545.0000000;540.1300000;545.0000000;800
19/06/06;00:00;560.0000000;561.0000000;555.0000000;555.0000000;1600
28/06/06;00:00;560.0000000;595.0000000;560.0000000;595.0000000;400
29/06/06;00:00;608.0000000;608.0000000;608.0000000;608.0000000;200
30/06/06;00:00;608.0000000;608.0000000;608.0000000;608.0000000;4200
03/07/06;00:00;604.5000000;604.5000000;604.5000000;604.5000000;500
04/07/06;00:00;650.0000000;665.9000000;650.0000000;665.9000000;1700
06/07/06;00:00;642.0000000;642.0000000;642.0000000;642.0000000;500
10/07/06;00:00;650.0000000;650.0000000;650.0000000;650.0000000;200
11/07/06;00:00;660.0000000;660.0000000;660.0000000;660.0000000;400
12/07/06;00:00;680.0000000;700.0000000;680.0000000;700.0000000;1100
17/07/06;00:00;680.0000000;690.0000000;680.0000000;690.0000000;2000
18/07/06;00:00;680.0000000;690.0000000;680.0000000;690.0000000;1400
19/07/06;00:00;695.3000000;695.3000000;695.3000000;695.3000000;200
20/07/06;00:00;705.0000000;705.0000000;705.0000000;705.0000000;300
21/07/06;00:00;720.0000000;720.0000000;720.0000000;720.0000000;500
28/07/06;00:00;711.0000000;730.0000000;705.0000000;730.0000000;700
01/08/06;00:00;720.0000000;720.0000000;720.0000000;720.0000000;600
03/08/06;00:00;724.0000000;724.0000000;711.0000000;724.0000000;300
04/08/06;00:00;738.0000000;739.0000000;738.0000000;739.0000000;2000
08/08/06;00:00;739.0000000;739.0000000;738.0000000;738.0000000;800
09/08/06;00:00;739.0000000;742.0000000;739.0000000;742.0000000;400
