<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
05/01/00;00:00;8.5000000;8.5000000;8.5000000;8.5000000;100
10/01/00;00:00;8.0000000;8.0000000;8.0000000;8.0000000;400
14/01/00;00:00;8.0200000;8.0200000;8.0200000;8.0200000;5000
17/01/00;00:00;9.1000000;9.1000000;9.1000000;9.1000000;4600
19/01/00;00:00;9.7400000;9.7400000;9.7400000;9.7400000;4600
27/01/00;00:00;10.0000000;10.1000000;10.0000000;10.1000000;200
03/02/00;00:00;10.2000000;10.2100000;10.2000000;10.2100000;1800
04/02/00;00:00;10.3000000;10.4100000;10.2200000;10.4100000;10400
07/02/00;00:00;11.7300000;11.7300000;11.7300000;11.7300000;100
08/02/00;00:00;11.4000000;11.4100000;11.4000000;11.4100000;200
09/02/00;00:00;11.7500000;11.7500000;11.5000000;11.5000000;600
10/02/00;00:00;12.0000000;12.0000000;12.0000000;12.0000000;1300
11/02/00;00:00;12.5000000;12.5000000;12.5000000;12.5000000;100
14/02/00;00:00;12.0000000;12.0000000;12.0000000;12.0000000;4700
17/02/00;00:00;12.0000000;12.0000000;11.0000000;11.0000000;6000
18/02/00;00:00;10.4000000;10.4000000;10.4000000;10.4000000;300
01/03/00;00:00;10.0500000;10.0500000;10.0500000;10.0500000;1700
02/03/00;00:00;10.0500000;10.0500000;10.0500000;10.0500000;1600
10/03/00;00:00;10.0500000;10.0500000;10.0500000;10.0500000;19500
13/03/00;00:00;10.5000000;10.5000000;10.5000000;10.5000000;5100
22/03/00;00:00;9.7000000;9.7000000;9.7000000;9.7000000;1900
24/03/00;00:00;11.5000000;11.5000000;11.5000000;11.5000000;3000
29/03/00;00:00;10.0000000;10.0000000;10.0000000;10.0000000;800
12/04/00;00:00;10.1000000;10.1000000;10.1000000;10.1000000;13500
13/04/00;00:00;10.0000000;10.0000000;10.0000000;10.0000000;10000
19/04/00;00:00;9.3500000;9.3500000;9.0000000;9.0000000;2100
06/05/00;00:00;9.5000000;9.5000000;9.5000000;9.5000000;10000
10/05/00;00:00;9.0000000;9.0000000;9.0000000;9.0000000;5000
04/08/00;00:00;8.7500000;8.7500000;8.7500000;8.7500000;300
18/08/00;00:00;9.2500000;9.2500000;9.2500000;9.2500000;4000
24/08/00;00:00;9.4900000;9.5000000;9.4900000;9.5000000;15700
25/08/00;00:00;9.6200000;9.6200000;9.6200000;9.6200000;200
31/08/00;00:00;9.4000000;9.4000000;9.4000000;9.4000000;3000
14/09/00;00:00;8.6000000;8.6000000;8.6000000;8.6000000;27000
19/10/00;00:00;7.8000000;8.0000000;7.8000000;8.0000000;1000
25/10/00;00:00;7.8000000;9.5800000;7.6500000;9.5800000;2700
20/11/00;00:00;7.1000000;7.1000000;6.9000000;6.9000000;34500
28/11/00;00:00;7.5000000;7.5000000;7.5000000;7.5000000;100
29/11/00;00:00;7.4900000;7.4900000;7.4900000;7.4900000;100
30/11/00;00:00;7.8000000;7.8000000;6.3000000;7.2400000;50400
04/12/00;00:00;7.6100000;7.6100000;7.6100000;7.6100000;100
06/12/00;00:00;7.2600000;7.2600000;7.2600000;7.2600000;1000
07/12/00;00:00;8.3000000;8.3000000;8.3000000;8.3000000;100
08/12/00;00:00;7.6000000;7.9000000;7.6000000;7.9000000;10000
14/12/00;00:00;7.6600000;7.8700000;7.6600000;7.7700000;20200
15/12/00;00:00;8.5000000;8.7000000;8.5000000;8.7000000;200
18/12/00;00:00;7.7000000;7.7000000;7.7000000;7.7000000;4000
19/12/00;00:00;7.7700000;7.7700000;7.7700000;7.7700000;4000
20/12/00;00:00;7.7700000;7.7700000;7.7700000;7.7700000;200
21/12/00;00:00;8.9000000;8.9000000;7.0000000;7.0000000;1100
22/12/00;00:00;7.9900000;7.9900000;7.9900000;7.9900000;100
25/12/00;00:00;8.8000000;8.8000000;8.8000000;8.8000000;100
26/12/00;00:00;8.6000000;8.6000000;8.6000000;8.6000000;100
27/12/00;00:00;8.4000000;8.4000000;8.4000000;8.4000000;200
28/12/00;00:00;8.2000000;8.2000000;8.2000000;8.2000000;100
03/01/01;00:00;8.8000000;8.8000000;8.8000000;8.8000000;100
04/01/01;00:00;8.8000000;8.8000000;8.8000000;8.8000000;100
05/01/01;00:00;8.7000000;8.7000000;8.7000000;8.7000000;100
10/01/01;00:00;8.1900000;8.2900000;8.1900000;8.2900000;200
12/01/01;00:00;8.4700000;8.4700000;8.4700000;8.4700000;100
15/01/01;00:00;8.4000000;8.4000000;8.4000000;8.4000000;29400
16/01/01;00:00;8.3000000;8.3000000;8.3000000;8.3000000;29400
17/01/01;00:00;8.3000000;8.4000000;8.3000000;8.4000000;26000
18/01/01;00:00;8.5000000;8.5000000;8.3000000;8.4000000;15700
19/01/01;00:00;8.5400000;8.5500000;8.5400000;8.5500000;32400
23/01/01;00:00;8.4500000;8.5000000;8.4500000;8.5000000;49800
24/01/01;00:00;8.6000000;8.6000000;8.6000000;8.6000000;45000
25/01/01;00:00;9.4000000;9.4000000;8.7100000;8.8100000;55200
26/01/01;00:00;8.9900000;9.1000000;8.9900000;9.1000000;84000
29/01/01;00:00;8.7200000;8.7200000;8.7200000;8.7200000;10000
30/01/01;00:00;8.9000000;8.9000000;8.8900000;8.8900000;200
02/02/01;00:00;8.8000000;8.8000000;8.8000000;8.8000000;1000
07/02/01;00:00;9.0000000;9.0000000;9.0000000;9.0000000;3500
08/02/01;00:00;8.9900000;8.9900000;8.9900000;8.9900000;100
09/02/01;00:00;8.9900000;8.9900000;8.7800000;8.7800000;3100
12/02/01;00:00;9.0100000;9.4400000;8.9000000;9.4400000;102000
13/02/01;00:00;9.7700000;10.1900000;9.7700000;10.1900000;15000
14/02/01;00:00;10.1000000;10.1500000;10.0000000;10.0000000;5000
15/02/01;00:00;10.4800000;10.5200000;10.4800000;10.5200000;5100
16/02/01;00:00;10.5000000;10.5000000;10.5000000;10.5000000;3000
20/02/01;00:00;9.7500000;9.7500000;9.7000000;9.7000000;4300
22/02/01;00:00;9.0000000;9.0000000;9.0000000;9.0000000;500
02/03/01;00:00;8.9500000;8.9500000;8.9500000;8.9500000;1900
12/03/01;00:00;9.5500000;9.5500000;9.5500000;9.5500000;3000
13/03/01;00:00;9.7000000;9.7000000;9.7000000;9.7000000;3000
14/03/01;00:00;9.5500000;9.8000000;9.5500000;9.8000000;6000
22/03/01;00:00;9.2000000;9.2000000;9.2000000;9.2000000;100
23/03/01;00:00;9.5200000;9.5200000;9.5200000;9.5200000;2000
26/03/01;00:00;9.8100000;9.8100000;9.8100000;9.8100000;100
29/03/01;00:00;10.0000000;10.0000000;10.0000000;10.0000000;28600
