<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
02/07/20;00:00;1792.0000000;1792.0000000;1610.0000000;1666.0000000;307363
03/07/20;00:00;1682.0000000;1776.6000000;1665.0000000;1754.8000000;372035
06/07/20;00:00;1803.2000000;1918.0000000;1763.8000000;1852.0000000;915188
07/07/20;00:00;1899.0000000;1927.4000000;1852.0000000;1873.0000000;643193
08/07/20;00:00;1880.0000000;1889.8000000;1835.0000000;1838.6000000;136683
09/07/20;00:00;1845.0000000;1855.0000000;1782.6000000;1808.0000000;165055
10/07/20;00:00;1804.0000000;1838.0000000;1803.4000000;1811.8000000;88820
13/07/20;00:00;1822.4000000;1838.0000000;1818.0000000;1822.0000000;90603
14/07/20;00:00;1823.0000000;1824.8000000;1781.4000000;1786.6000000;95013
15/07/20;00:00;1790.0000000;1845.0000000;1790.0000000;1811.8000000;117678
16/07/20;00:00;1801.4000000;1822.0000000;1801.4000000;1821.0000000;43330
17/07/20;00:00;1825.0000000;1840.0000000;1808.0000000;1827.0000000;101119
20/07/20;00:00;1827.0000000;1841.6000000;1810.2000000;1822.0000000;103368
21/07/20;00:00;1830.0000000;1878.6000000;1830.0000000;1851.2000000;168971
22/07/20;00:00;1855.2000000;1874.2000000;1835.6000000;1863.0000000;181213
23/07/20;00:00;1886.0000000;1915.6000000;1876.6000000;1911.0000000;330180
24/07/20;00:00;1912.0000000;1915.8000000;1882.8000000;1906.2000000;204869
27/07/20;00:00;1915.8000000;1935.0000000;1905.2000000;1915.0000000;183102
28/07/20;00:00;1915.2000000;1990.6000000;1915.0000000;1985.0000000;168197
29/07/20;00:00;2020.6000000;2021.6000000;1985.0000000;2005.8000000;259106
30/07/20;00:00;2018.8000000;2026.0000000;1970.2000000;1990.0000000;119237
31/07/20;00:00;2004.0000000;2022.0000000;1960.0000000;1975.0000000;117978
03/08/20;00:00;2001.2000000;2051.2000000;1994.2000000;2028.0000000;271084
04/08/20;00:00;2049.8000000;2062.0000000;2016.0000000;2043.0000000;226814
05/08/20;00:00;2054.8000000;2054.8000000;2025.0000000;2031.4000000;175816
06/08/20;00:00;2039.6000000;2040.0000000;1980.0000000;1985.0000000;265695
07/08/20;00:00;2008.4000000;2010.0000000;1972.0000000;1986.0000000;164251
10/08/20;00:00;1999.8000000;2009.0000000;1970.0000000;1999.4000000;116975
11/08/20;00:00;2000.0000000;2008.0000000;1970.0000000;1973.0000000;286111
12/08/20;00:00;1974.0000000;1989.4000000;1957.0000000;1986.6000000;132904
13/08/20;00:00;1990.0000000;2055.0000000;1975.0000000;2044.0000000;396169
14/08/20;00:00;2042.4000000;2085.0000000;2015.0000000;2079.8000000;344086
17/08/20;00:00;2086.8000000;2145.8000000;2080.0000000;2106.0000000;553436
18/08/20;00:00;2109.8000000;2138.4000000;2060.2000000;2080.0000000;305196
19/08/20;00:00;2085.8000000;2195.0000000;2083.0000000;2163.0000000;583979
20/08/20;00:00;2169.4000000;2189.2000000;2110.0000000;2128.8000000;454478
21/08/20;00:00;2148.8000000;2224.0000000;2120.2000000;2150.0000000;538357
24/08/20;00:00;2174.8000000;2214.8000000;2172.2000000;2182.6000000;416076
