<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
28/05/07;00:00;0.1449000;0.1749000;0.1400000;0.1416000;4222440000
29/05/07;00:00;0.1420000;0.1449000;0.1378000;0.1395000;4874778000
30/05/07;00:00;0.1377000;0.1390000;0.1355000;0.1385000;4698312000
31/05/07;00:00;0.1398000;0.1450000;0.1396000;0.1448000;4099527000
01/06/07;00:00;0.1450000;0.1465000;0.1438000;0.1452000;3411455000
04/06/07;00:00;0.1450000;0.1450000;0.1409000;0.1429000;2338603000
05/06/07;00:00;0.1430000;0.1445000;0.1419000;0.1428000;1877020000
06/06/07;00:00;0.1429000;0.1435000;0.1398000;0.1420000;2092584000
07/06/07;00:00;0.1415000;0.1422000;0.1408000;0.1410000;1040841000
08/06/07;00:00;0.1402000;0.1436000;0.1400000;0.1429000;3364103000
09/06/07;00:00;0.1430000;0.1439000;0.1424000;0.1426000;744601000
13/06/07;00:00;0.1424000;0.1433000;0.1415000;0.1432000;689887000
14/06/07;00:00;0.1438000;0.1468000;0.1433000;0.1466000;3610985000
15/06/07;00:00;0.1469000;0.1475000;0.1440000;0.1445000;4952897000
18/06/07;00:00;0.1455000;0.1458000;0.1437000;0.1446000;1303513000
19/06/07;00:00;0.1443000;0.1446000;0.1434000;0.1436000;1198327000
20/06/07;00:00;0.1444000;0.1459000;0.1436000;0.1452000;2053355000
21/06/07;00:00;0.1450000;0.1450000;0.1435000;0.1438000;1125515000
22/06/07;00:00;0.1439000;0.1445000;0.1426000;0.1431000;1344830000
25/06/07;00:00;0.1427000;0.1428000;0.1412000;0.1420000;1179232000
26/06/07;00:00;0.1419000;0.1430000;0.1412000;0.1421000;1354180000
27/06/07;00:00;0.1419000;0.1422000;0.1401000;0.1409000;2292136000
28/06/07;00:00;0.1419000;0.1420000;0.1407000;0.1413000;1110719000
29/06/07;00:00;0.1412000;0.1417000;0.1399000;0.1409000;1209263000
02/07/07;00:00;0.1409000;0.1412000;0.1397000;0.1400000;2046207000
03/07/07;00:00;0.1402000;0.1409000;0.1392000;0.1404000;6080407000
04/07/07;00:00;0.1403000;0.1405000;0.1391000;0.1398000;5614185000
05/07/07;00:00;0.1400000;0.1403000;0.1394000;0.1401000;1555037000
06/07/07;00:00;0.1399000;0.1411000;0.1395000;0.1402000;2439470000
09/07/07;00:00;0.1405000;0.1414000;0.1399000;0.1412000;2115748000
10/07/07;00:00;0.1409000;0.1409000;0.1394000;0.1400000;3240070000
11/07/07;00:00;0.1394000;0.1402000;0.1391000;0.1396000;2675888000
12/07/07;00:00;0.1400000;0.1410000;0.1397000;0.1410000;3226109000
13/07/07;00:00;0.1413000;0.1417000;0.1400000;0.1407000;2754865000
