<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
04/06/14;00:00;1546.7000000;1546.8000000;1163.0000000;1170.0000000;35146
05/06/14;00:00;1175.0000000;1195.0000000;1141.1000000;1145.1000000;24973
06/06/14;00:00;1158.3000000;1173.5000000;1151.0000000;1163.0000000;7889
09/06/14;00:00;1178.9000000;1185.6000000;1155.7000000;1172.1000000;7304
10/06/14;00:00;1172.1000000;1181.0000000;1160.1000000;1170.0000000;3207
11/06/14;00:00;1175.0000000;1183.0000000;1157.1000000;1179.9000000;8837
16/06/14;00:00;1164.0000000;1181.2000000;1150.0000000;1165.0000000;13904
17/06/14;00:00;1166.9000000;1187.7000000;1166.9000000;1185.5000000;8517
18/06/14;00:00;1180.1000000;1185.0000000;1176.0000000;1182.9000000;1455
19/06/14;00:00;1176.0000000;1182.7000000;1165.0000000;1168.0000000;1396
20/06/14;00:00;1165.2000000;1179.0000000;1160.0000000;1175.0000000;2702
23/06/14;00:00;1185.0000000;1218.8000000;1185.0000000;1196.0000000;14081
24/06/14;00:00;1200.0000000;1208.9000000;1191.0000000;1191.8000000;3895
25/06/14;00:00;1185.0000000;1195.0000000;1153.1000000;1176.8000000;3949
26/06/14;00:00;1185.0000000;1188.5000000;1168.9000000;1185.0000000;2392
27/06/14;00:00;1172.1000000;1197.0000000;1165.0000000;1185.0000000;1148
30/06/14;00:00;1189.9000000;1218.1000000;1184.1000000;1218.0000000;8749
01/07/14;00:00;1212.5000000;1239.8000000;1212.5000000;1218.2000000;3036
02/07/14;00:00;1218.0000000;1220.0000000;1195.0000000;1200.0000000;33473
03/07/14;00:00;1188.9000000;1213.8000000;1184.0000000;1192.0000000;25562
04/07/14;00:00;1184.9000000;1204.9000000;1183.0000000;1186.0000000;2133
07/07/14;00:00;1200.0000000;1211.8000000;1152.0000000;1160.0000000;19359
08/07/14;00:00;1165.0000000;1180.0000000;1100.0000000;1113.4000000;26565
09/07/14;00:00;1100.0000000;1111.0000000;1073.8000000;1094.0000000;19416
10/07/14;00:00;1100.0000000;1125.7000000;1061.5000000;1077.8000000;11216
11/07/14;00:00;1072.2000000;1101.5000000;1056.0000000;1099.3000000;35563
14/07/14;00:00;1095.1000000;1123.5000000;1090.2000000;1118.9000000;6192
15/07/14;00:00;1123.3000000;1127.5000000;1110.0000000;1114.3000000;2789
16/07/14;00:00;1114.2000000;1115.5000000;1098.1000000;1106.5000000;7340
17/07/14;00:00;1098.0000000;1107.5000000;1067.6000000;1088.0000000;7221
18/07/14;00:00;1080.4000000;1081.4000000;1054.1000000;1072.3000000;7144
21/07/14;00:00;1080.0000000;1081.4000000;1035.0000000;1047.5000000;8353
22/07/14;00:00;1050.4000000;1060.0000000;1043.9000000;1060.0000000;10468
23/07/14;00:00;1061.4000000;1062.0000000;1047.4000000;1056.2000000;5286
24/07/14;00:00;1056.2000000;1093.4000000;1048.3000000;1077.8000000;5186
25/07/14;00:00;1077.8000000;1109.4000000;1070.1000000;1075.1000000;5127
28/07/14;00:00;1060.2000000;1075.0000000;1050.1000000;1055.0000000;3992
29/07/14;00:00;1055.1000000;1147.6000000;1055.1000000;1116.0000000;11794
30/07/14;00:00;1112.3000000;1129.8000000;1106.0000000;1120.0000000;3075
31/07/14;00:00;1129.9000000;1129.9000000;1081.1000000;1087.7000000;4886
01/08/14;00:00;1096.9000000;1096.9000000;1060.0000000;1062.2000000;6621
04/08/14;00:00;1073.2000000;1101.9000000;1072.7000000;1089.5000000;7073
05/08/14;00:00;1101.3000000;1110.9000000;1076.1000000;1094.6000000;528
06/08/14;00:00;1076.1000000;1076.1000000;1043.0000000;1060.1000000;3329
07/08/14;00:00;1041.1000000;1055.0000000;1041.1000000;1054.5000000;3528
08/08/14;00:00;1055.4000000;1055.4000000;1033.5000000;1033.5000000;7617
11/08/14;00:00;1040.0000000;1071.9000000;1040.0000000;1053.0000000;13759
12/08/14;00:00;1050.0000000;1070.0000000;1027.9000000;1052.1000000;15203
13/08/14;00:00;1050.0000000;1067.0000000;1045.1000000;1054.6000000;2194
14/08/14;00:00;1047.5000000;1065.4000000;1040.0000000;1053.1000000;3752
15/08/14;00:00;1040.6000000;1060.0000000;1040.0000000;1041.0000000;3461
18/08/14;00:00;1025.0000000;1038.4000000;1025.0000000;1032.0000000;5929
19/08/14;00:00;1046.8000000;1100.0000000;1040.0000000;1089.0000000;16771
20/08/14;00:00;1081.3000000;1116.9000000;1081.3000000;1109.7000000;6577
21/08/14;00:00;1098.1000000;1103.3000000;1085.7000000;1089.2000000;10737
22/08/14;00:00;1085.0000000;1085.0000000;1041.0000000;1050.0000000;16800
25/08/14;00:00;1054.0000000;1066.9000000;1051.0000000;1061.6000000;2679
26/08/14;00:00;1062.0000000;1068.0000000;1056.0000000;1056.0000000;3465
27/08/14;00:00;1059.8000000;1062.1000000;1058.0000000;1062.1000000;457
28/08/14;00:00;1050.2000000;1060.0000000;1041.0000000;1055.0000000;10192
29/08/14;00:00;1047.0000000;1061.6000000;1044.9000000;1050.0000000;7012
01/09/14;00:00;1061.7000000;1061.7000000;1050.5000000;1055.5000000;184
02/09/14;00:00;1059.5000000;1092.9000000;1057.5000000;1087.6000000;1756
03/09/14;00:00;1089.9000000;1133.3000000;1079.8000000;1116.8000000;49804
04/09/14;00:00;1124.0000000;1133.9000000;1100.1000000;1119.0000000;13818
05/09/14;00:00;1109.9000000;1160.0000000;1106.3000000;1159.6000000;15060
08/09/14;00:00;1168.0000000;1537.8000000;1159.7000000;1173.7000000;12370
09/09/14;00:00;1170.0000000;1170.0000000;1157.3000000;1157.3000000;1918
10/09/14;00:00;1150.1000000;1168.5000000;1141.1000000;1149.0000000;3514
11/09/14;00:00;1154.0000000;1174.0000000;1148.5000000;1149.9000000;3651
12/09/14;00:00;1144.1000000;1200.9000000;1144.1000000;1173.7000000;4322
15/09/14;00:00;1187.7000000;1230.0000000;1175.0000000;1230.0000000;26905
16/09/14;00:00;1185.0000000;1549.9000000;1167.1000000;1176.8000000;41461
17/09/14;00:00;1190.0000000;1212.9000000;1165.0000000;1174.1000000;22336
18/09/14;00:00;1173.7000000;1205.0000000;1159.2000000;1164.1000000;17206
19/09/14;00:00;1162.0000000;1177.0000000;1121.6000000;1148.5000000;18414
22/09/14;00:00;1159.9000000;1179.0000000;1113.0000000;1135.2000000;9633
23/09/14;00:00;1115.0000000;1144.8000000;1103.0000000;1125.0000000;11478
24/09/14;00:00;1125.0000000;1146.4000000;1112.0000000;1130.0000000;12744
25/09/14;00:00;1149.0000000;1171.6000000;1141.4000000;1154.0000000;16402
26/09/14;00:00;1154.1000000;1168.8000000;1112.1000000;1162.0000000;8653
29/09/14;00:00;1163.9000000;1180.0000000;1120.6000000;1131.3000000;15825
30/09/14;00:00;1119.8000000;1160.0000000;1114.1000000;1130.7000000;18896
01/10/14;00:00;1107.0000000;1116.0000000;1077.0000000;1091.0000000;10869
02/10/14;00:00;1072.0000000;1076.0000000;1032.0000000;1035.0000000;9479
03/10/14;00:00;1065.0000000;1084.0000000;1056.0000000;1078.0000000;7397
06/10/14;00:00;1081.0000000;1107.0000000;1078.0000000;1082.0000000;12208
07/10/14;00:00;1077.0000000;1080.0000000;1060.0000000;1069.0000000;6037
08/10/14;00:00;1061.0000000;1061.0000000;1035.0000000;1036.0000000;5456
09/10/14;00:00;1047.0000000;1058.0000000;1037.0000000;1037.0000000;3451
10/10/14;00:00;1045.0000000;1046.0000000;1006.0000000;1011.0000000;4958
13/10/14;00:00;1027.0000000;1048.0000000;986.0000000;996.0000000;18937
14/10/14;00:00;1011.0000000;1050.0000000;1010.0000000;1050.0000000;17501
15/10/14;00:00;1031.0000000;1055.0000000;1001.0000000;1015.0000000;15854
16/10/14;00:00;1026.0000000;1049.0000000;1010.0000000;1035.0000000;11639
17/10/14;00:00;1040.0000000;1105.0000000;1040.0000000;1077.0000000;19695
20/10/14;00:00;1080.0000000;1092.0000000;1060.0000000;1072.0000000;7157
21/10/14;00:00;1078.0000000;1104.0000000;1076.0000000;1096.0000000;7164
22/10/14;00:00;1115.0000000;1127.0000000;1106.0000000;1125.0000000;12202
23/10/14;00:00;1090.0000000;1180.0000000;1075.0000000;1155.0000000;41502
24/10/14;00:00;1147.0000000;1168.0000000;1132.0000000;1142.0000000;11694
27/10/14;00:00;1150.0000000;1176.0000000;1136.0000000;1153.0000000;4996
28/10/14;00:00;1157.0000000;1196.0000000;1157.0000000;1196.0000000;17959
29/10/14;00:00;1211.0000000;1232.0000000;1202.0000000;1208.0000000;14239
30/10/14;00:00;1212.0000000;1240.0000000;1166.0000000;1174.0000000;17743
31/10/14;00:00;1171.0000000;1237.0000000;1160.0000000;1213.0000000;39161
03/11/14;00:00;1232.0000000;1250.0000000;1200.0000000;1233.0000000;3698
05/11/14;00:00;1205.0000000;1247.0000000;1172.0000000;1214.0000000;8978
06/11/14;00:00;1228.0000000;1277.0000000;1221.0000000;1229.0000000;12389
07/11/14;00:00;1242.0000000;1350.0000000;1205.0000000;1233.0000000;13308
10/11/14;00:00;1243.0000000;1300.0000000;1156.0000000;1214.0000000;16825
11/11/14;00:00;1232.0000000;1248.0000000;1182.0000000;1221.0000000;9302
12/11/14;00:00;1226.0000000;1232.0000000;1186.0000000;1221.0000000;4480
13/11/14;00:00;1222.0000000;1332.0000000;1220.0000000;1230.0000000;4985
14/11/14;00:00;1231.0000000;1298.0000000;1210.0000000;1224.0000000;3532
17/11/14;00:00;1225.0000000;1253.0000000;1223.0000000;1230.0000000;2447
18/11/14;00:00;1224.0000000;1234.0000000;1212.0000000;1224.0000000;5123
19/11/14;00:00;1221.0000000;1222.0000000;1204.0000000;1206.0000000;1726
20/11/14;00:00;1206.0000000;1212.0000000;1194.0000000;1209.0000000;3247
21/11/14;00:00;1206.0000000;1231.0000000;1180.0000000;1226.0000000;10804
24/11/14;00:00;1207.0000000;1251.0000000;1174.0000000;1183.0000000;6219
25/11/14;00:00;1176.0000000;1215.0000000;1162.0000000;1208.0000000;4154
26/11/14;00:00;1196.0000000;1244.0000000;1184.0000000;1235.0000000;7898
27/11/14;00:00;1232.0000000;1257.0000000;1174.0000000;1230.0000000;9577
28/11/14;00:00;1240.0000000;1289.0000000;1218.0000000;1238.0000000;19198
01/12/14;00:00;1242.0000000;1324.0000000;1200.0000000;1244.0000000;21771
02/12/14;00:00;1222.0000000;1283.0000000;1205.0000000;1283.0000000;17393
03/12/14;00:00;1260.0000000;1323.0000000;1240.0000000;1280.0000000;22431
04/12/14;00:00;1274.0000000;1321.0000000;1210.0000000;1236.0000000;19206
05/12/14;00:00;1221.0000000;1239.0000000;1137.0000000;1149.0000000;29997
08/12/14;00:00;1179.0000000;1196.0000000;1076.0000000;1090.0000000;16367
09/12/14;00:00;1090.0000000;1090.0000000;1034.0000000;1075.0000000;24783
10/12/14;00:00;1082.0000000;1157.0000000;1055.0000000;1088.0000000;35769
11/12/14;00:00;1079.0000000;1085.0000000;1050.0000000;1055.0000000;28533
12/12/14;00:00;1055.0000000;1152.0000000;955.0000000;1133.0000000;26472
15/12/14;00:00;1125.0000000;1195.0000000;1087.0000000;1127.0000000;33525
16/12/14;00:00;1095.0000000;1198.0000000;1061.0000000;1131.0000000;26790
17/12/14;00:00;1175.0000000;1180.0000000;1078.0000000;1096.0000000;13521
18/12/14;00:00;1101.0000000;1149.0000000;1061.0000000;1100.0000000;27341
19/12/14;00:00;1118.0000000;1132.0000000;1022.0000000;1063.0000000;32333
22/12/14;00:00;1065.0000000;1065.0000000;973.0000000;1000.0000000;27332
23/12/14;00:00;1002.0000000;1032.0000000;990.0000000;1013.0000000;11153
24/12/14;00:00;991.0000000;1014.0000000;990.0000000;996.0000000;40832
25/12/14;00:00;1001.0000000;1045.0000000;1001.0000000;1038.0000000;35626
26/12/14;00:00;1036.0000000;1045.0000000;980.0000000;991.0000000;24041
29/12/14;00:00;1010.0000000;1044.0000000;971.0000000;1028.0000000;37278
30/12/14;00:00;1043.0000000;1060.0000000;1010.0000000;1025.0000000;11510
05/01/15;00:00;1064.0000000;1080.0000000;1051.0000000;1079.0000000;8834
06/01/15;00:00;1069.0000000;1116.0000000;1047.0000000;1092.0000000;4004
08/01/15;00:00;1084.0000000;1117.0000000;1069.0000000;1094.0000000;5960
09/01/15;00:00;1101.0000000;1116.0000000;1030.0000000;1098.0000000;3064
12/01/15;00:00;1100.0000000;1129.0000000;1093.0000000;1113.0000000;7511
13/01/15;00:00;1115.0000000;1155.0000000;1115.0000000;1153.0000000;72155
14/01/15;00:00;1150.0000000;1185.0000000;1147.0000000;1177.0000000;18285
15/01/15;00:00;1181.0000000;1200.0000000;1165.0000000;1175.0000000;34207
16/01/15;00:00;1162.0000000;1170.0000000;1150.0000000;1165.0000000;8064
19/01/15;00:00;1121.0000000;1182.0000000;1121.0000000;1165.0000000;9278
20/01/15;00:00;1165.0000000;1167.0000000;1101.0000000;1122.0000000;41989
21/01/15;00:00;1102.0000000;1125.0000000;1075.0000000;1083.0000000;109351
22/01/15;00:00;1085.0000000;1115.0000000;1084.0000000;1106.0000000;25782
23/01/15;00:00;1111.0000000;1161.0000000;1104.0000000;1117.0000000;36333
26/01/15;00:00;1107.0000000;1125.0000000;1105.0000000;1121.0000000;11541
27/01/15;00:00;1097.0000000;1116.0000000;1084.0000000;1095.0000000;12508
28/01/15;00:00;1093.0000000;1105.0000000;1069.0000000;1081.0000000;23975
29/01/15;00:00;1060.0000000;1079.0000000;1045.0000000;1075.0000000;83797
30/01/15;00:00;1084.0000000;1100.0000000;1052.0000000;1075.0000000;99805
02/02/15;00:00;1058.0000000;1088.0000000;980.0000000;998.0000000;56487
03/02/15;00:00;1010.0000000;1034.0000000;992.0000000;997.0000000;75020
04/02/15;00:00;1008.0000000;1051.0000000;1005.0000000;1050.0000000;41377
05/02/15;00:00;1040.0000000;1096.0000000;1035.0000000;1090.0000000;37434
06/02/15;00:00;1090.0000000;1125.0000000;1080.0000000;1084.0000000;20513
09/02/15;00:00;1084.0000000;1150.0000000;1060.0000000;1078.0000000;65824
10/02/15;00:00;1059.0000000;1101.0000000;1036.0000000;1045.0000000;69067
11/02/15;00:00;1049.0000000;1078.0000000;1019.0000000;1037.0000000;49561
12/02/15;00:00;1047.0000000;1130.0000000;1030.0000000;1071.0000000;79591
13/02/15;00:00;1084.0000000;1120.0000000;1068.0000000;1115.0000000;40957
16/02/15;00:00;1105.0000000;1105.0000000;1066.0000000;1070.0000000;46228
17/02/15;00:00;1058.0000000;1094.0000000;1025.0000000;1030.0000000;59848
18/02/15;00:00;1041.0000000;1160.0000000;1041.0000000;1084.0000000;158645
19/02/15;00:00;1078.0000000;1098.0000000;1033.0000000;1049.0000000;66084
20/02/15;00:00;1050.0000000;1085.0000000;1045.0000000;1053.0000000;56184
24/02/15;00:00;1045.0000000;1049.0000000;1030.0000000;1038.0000000;53192
25/02/15;00:00;1044.0000000;1075.0000000;1007.0000000;1025.0000000;95401
26/02/15;00:00;1039.0000000;1039.0000000;1005.0000000;1009.0000000;59208
27/02/15;00:00;1016.0000000;1028.0000000;1004.0000000;1016.0000000;46134
02/03/15;00:00;1020.0000000;1030.0000000;991.0000000;1000.0000000;68616
